

A/C HOTEL MAHESH JHAKRI       In M/S RAM KISHAN JIVA RAM Page No. 1
 A041 VILL.  PO JHAKRI                            PANAAQFM3143E  9218544255  JCR
      AADHAR          0   GSTIN 02AAQFM3143E2ZL
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F          0.00
03/04/2023S H397199           TO SALE                    32657.37        0.00       32657.37
03/04/2023S R251242           TO SALE                     5393.31        0.00       38050.68
13/04/2023S H397472           TO SALE                    35398.56        0.00       73449.24
13/04/2023S R251322           TO SALE                    11217.12        0.00       84666.36
20/04/2023S H397596           TO SALE                     1151.16        0.00       85817.52
27/04/2023S H397781           TO SALE                    36572.88        0.00      122390.40
27/04/2023S H397782           TO SALE                    20146.02        0.00      142536.42
27/04/2023S R251412           TO SALE                    10412.76        0.00      152949.18
04/05/2023J J-CH              BY CH 257966 Q101              0.00   152949.00           0.18
06/05/2023S H397998           TO SALE                      836.00        0.00         836.18
08/05/2023S H398034           TO SALE                    35569.67        0.00       36405.85
08/05/2023S R251492           TO SALE                     7789.50        0.00       44195.35
16/05/2023S L168016           TO SALE                    19861.76        0.00       64057.11
17/05/2023S H398196           TO SALE                     8589.00        0.00       72646.11
22/05/2023S H398280           TO SALE                   121971.48        0.00      194617.59
22/05/2023S H398296           TO SALE                    13116.16        0.00      207733.75
22/05/2023S R251584           TO SALE                    23013.12        0.00      230746.87
23/05/2023S H398315           TO SALE                    10228.48        0.00      240975.35
27/05/2023S H398382           TO SALE                     4518.00        0.00      245493.35
05/06/2023S H398504           TO SALE                    30666.65        0.00      276160.00
05/06/2023S H398505           TO SALE                    12814.40        0.00      288974.40
05/06/2023S R251676           TO SALE                     7201.35        0.00      296175.75
07/06/2023J J-CH              BY CH 257970 Q101              0.00   245493.00       50682.75
16/06/2023S H398741           TO SALE                    47089.19        0.00       97771.94
16/06/2023S R251761           TO SALE                    21410.06        0.00      119182.00
17/06/2023S H398766           TO SALE                     1225.76        0.00      120407.76
22/06/2023S H398843           TO SALE                     1189.80        0.00      121597.56
23/06/2023S H398869           TO SALE                    19270.57        0.00      140868.13
23/06/2023S R251812           TO SALE                    15755.95        0.00      156624.08
24/06/2023S H398884           TO SALE                    20500.00        0.00      177124.08
24/06/2023S R251818           TO SALE                    10222.30        0.00      187346.38
03/07/2023S H399001           TO SALE                    47570.61        0.00      234916.99
03/07/2023S R251854           TO SALE                     2369.54        0.00      237286.53
04/07/2023J J-CH              BY CH 257972 Q101              0.00   187346.00       49940.53
05/07/2023S H399058           TO SALE                     2847.50        0.00       52788.03
12/07/2023S H399143           TO SALE                    36274.61        0.00       89062.64
12/07/2023S R251911           TO SALE                     5614.71        0.00       94677.35
15/07/2023S H399220           TO SALE                     2991.81        0.00       97669.16
24/07/2023S H399318           TO SALE                    17591.56        0.00      115260.72
24/07/2023S R251973           TO SALE                     5213.75        0.00      120474.47
26/07/2023S T100271           TO SALE                     9014.00        0.00      129488.47
31/07/2023S H399439           TO SALE                    44151.47        0.00      173639.94
31/07/2023S H399440           TO SALE                    16191.37        0.00      189831.31
31/07/2023S R252018           TO SALE                    19143.48        0.00      208974.79
03/08/2023S G287725           TO SALE                     1944.74        0.00      210919.53
03/08/2023S G287726           TO SALE                      306.12        0.00      211225.65
09/08/2023J J-CH              BY CH 257976 Q101              0.00   208975.00        2250.65
11/08/2023S H399744           TO SALE                     1044.30        0.00        3294.95
14/08/2023S B548620           TO SALE                    10200.96        0.00       13495.91
14/08/2023S H399781           TO SALE                    21994.40        0.00       35490.31
14/08/2023S H399782           TO SALE                    24723.80        0.00       60214.11
14/08/2023S R252130           TO SALE                    14511.95        0.00       74726.06
24/08/2023S H399943           TO SALE                    10296.04        0.00       85022.10
24/08/2023S R252188           TO SALE                     4553.58        0.00       89575.68
01/09/2023S H400068           TO SALE                     3511.75        0.00       93087.43
06/09/2023S H400142           TO SALE                    18534.00        0.00      111621.43
06/09/2023S R252260           TO SALE                     6324.02        0.00      117945.45
09/09/2023J J-CH              BY CH 257979 Q101              0.00    89576.00       28369.45
14/09/2023S H400273           TO SALE                    16254.54        0.00       44623.99
14/09/2023S R252305           TO SALE                     4316.04        0.00       48940.03
21/09/2023S H400401           TO SALE                    26863.90        0.00       75803.93
21/09/2023S R252345           TO SALE                     2977.66        0.00       78781.59
26/09/2023S H400491           TO SALE                     2521.82        0.00       81303.41
02/10/2023S H400587           TO SALE                    31377.59        0.00      112681.00
02/10/2023S R252403           TO SALE                     9404.43        0.00      122085.43
06/10/2023J J-CH              BY CH 257984 Q101              0.00    81303.00       40782.43
10/10/2023S H400716           TO SALE                    48578.68        0.00       89361.11
10/10/2023S H400717           TO SALE                    17147.00        0.00      106508.11
20/10/2023S H400911           TO SALE                    18076.54        0.00      124584.65
28/10/2023S H401058           TO SALE                    48472.32        0.00      173056.97
03/11/2023S H401211           TO SALE                    26187.26        0.00      199244.23
03/11/2023S H401212           TO SALE                    22542.92        0.00      221787.15
03/11/2023S R252584           TO SALE                     4713.21        0.00      226500.36
06/11/2023J J-CH              BY CH 257987 Q101              0.00   173056.00       53444.36
14/11/2023S H401469           TO SALE                    33143.47        0.00       86587.83
14/11/2023S H401470           TO SALE                    14738.78        0.00      101326.61
14/11/2023S R252631           TO SALE                    12721.45        0.00      114048.06

                         TOTAL                         1252746.06  1138698.00      114048.06


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
