

A/C NEW COL NJPC EMP CONS STORE JHAKRI       In M/S RAM KISHAN JIVA RAM Page No. 1
 A050 VILL.  PO JHAKRI                            PANAAAAN6209P  9418645194  J0I
      AADHAR          0   GSTIN 02AAAAN6209P1ZJ
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F     186894.87
13/04/2023S L165607           TO SALE                    33039.04        0.00      219933.91
13/04/2023S L165609           TO SALE                    52087.34        0.00      272021.25
13/04/2023S L165610           TO SALE                   226330.72        0.00      498351.97
19/04/2023S L166097           TO SALE                      220.04        0.00      498572.01
26/04/2023S L166642           TO SALE                   102190.42        0.00      600762.43
26/04/2023S L166643           TO SALE                     3862.50        0.00      604624.93
28/04/2023J J-CH              BY CH 246044 Q101              0.00   184497.00      420127.93
08/05/2023S L167510           TO SALE                    25829.75        0.00      445957.68
08/05/2023S L167515           TO SALE                    12293.10        0.00      458250.78
08/05/2023S L167516           TO SALE                    97433.49        0.00      555684.27
20/05/2023J J-CH              BY CH 246049 Q101              0.00   311457.00      244227.27
03/06/2023S L169466           TO SALE                    50430.56        0.00      294657.83
03/06/2023S L169467           TO SALE                      264.00        0.00      294921.83
03/06/2023S L169468           TO SALE                    50412.65        0.00      345334.48
03/06/2023S L169469           TO SALE                   364718.30        0.00      710052.78
08/06/2023S L169723           TO SALE                     4151.08        0.00      714203.86
08/06/2023S L169725           TO SALE                    17635.20        0.00      731839.06
08/06/2023S L169726           TO SALE                    19767.82        0.00      751606.88
08/06/2023S L169729           TO SALE                     4199.40        0.00      755806.28
08/06/2023S L169814           TO SALE                      209.46        0.00      756015.74
10/06/2023S L169980           TO SALE                      391.76        0.00      756407.50
13/06/2023J J-CH              BY CH 246053 Q101              0.00   239127.00      517280.50
07/07/2023J J-CH              BY CH 246056 Q101              0.00   511788.00        5492.50
17/07/2023S L172469           TO SALE                     1320.20        0.00        6812.70
17/07/2023S L172470           TO SALE                    66415.77        0.00       73228.47
17/07/2023S L172471           TO SALE                    67457.10        0.00      140685.57
17/07/2023S L172472           TO SALE                   224503.09        0.00      365188.66
21/07/2023S L172806           TO SALE                     5478.29        0.00      370666.95
21/07/2023S L172807           TO SALE                    18900.00        0.00      389566.95
21/07/2023S L172808           TO SALE                     2904.91        0.00      392471.86
26/07/2023S L173174           TO SALE                     1638.52        0.00      394110.38
27/07/2023S L173222           TO SALE                     6493.50        0.00      400603.88
27/07/2023S L173223           TO SALE                    28161.54        0.00      428765.42
05/08/2023J J-CH              BY CH 246059 Q101              0.00   423272.00        5493.42
12/08/2023S L174284           TO SALE                    49662.56        0.00       55155.98
12/08/2023S L174289           TO SALE                    54383.84        0.00      109539.82
12/08/2023S L174291           TO SALE                   295440.02        0.00      404979.84
14/08/2023S L174412           TO SALE                       36.68        0.00      405016.52
09/09/2023J J-CH              BY CH 246063 Q101              0.00   399486.00        5530.52
11/09/2023S L176209           TO SALE                   335996.82        0.00      341527.34
11/09/2023S L176210           TO SALE                    67943.14        0.00      409470.48
11/09/2023S L176211           TO SALE                    53172.26        0.00      462642.74
11/10/2023S L178466           TO SALE                      970.20        0.00      463612.94
11/10/2023S L178467           TO SALE                    50586.93        0.00      514199.87
11/10/2023S L178468           TO SALE                   101166.48        0.00      615366.35
11/10/2023S L178469           TO SALE                   323443.32        0.00      938809.67
13/10/2023J J-CH              BY CH 246064 Q101              0.00   457112.00      481697.67
02/11/2023S L179992           TO SALE                    40982.14        0.00      522679.81
02/11/2023S L180006           TO SALE                    47644.81        0.00      570324.62
02/11/2023S L180007           TO SALE                    57456.20        0.00      627780.82
02/11/2023S L180008           TO SALE                   186349.48        0.00      814130.30
18/11/2023J J-CH              BY CH 246065 Q101              0.00   476167.00      337963.30

                         TOTAL                         3340869.30  3002906.00      337963.30


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
