

A/C DURGA GENRAL STORE JHAKRI       In M/S RAM KISHAN JIVA RAM Page No. 1
 A063 VILL.   PO JHAKRI                           PAN            9418984464  4GG
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F          0.00
01/04/2023S N299975           TO SALE                     1751.96        0.00        1751.96
01/04/2023S N300009           TO SALE                     5352.48        0.00        7104.44
01/04/2023C A305N             BY CASH N299975 DURGA GE       0.00     1751.96        5352.48
01/04/2023C A305N             BY CASH N300009 DURGA GE       0.00     5352.48           0.00
03/04/2023S N300251           TO SALE                      926.28        0.00         926.28
04/04/2023C A201S             BY CASH N300251 DURGA GE       0.00      926.28           0.00
05/04/2023S N300602           TO SALE                     3693.69        0.00        3693.69
05/04/2023S N300624           TO SALE                     2049.59        0.00        5743.28
07/04/2023S N300886           TO SALE                     1139.96        0.00        6883.24
07/04/2023C A103S             BY CASH N300602 DURGA GE       0.00     3693.69        3189.55
07/04/2023C A103S             BY CASH N300624 DURGA GE       0.00     2049.59        1139.96
08/04/2023S N300925           TO SALE                     9010.82        0.00       10150.78
08/04/2023S O105901           TO SALE                     -118.66        0.00       10032.12
08/04/2023C A305Y             BY CASH N300886 DURGA GE       0.00     1139.96        8892.16
08/04/2023C A305N             BY CASH N300925 DURGA GE       0.00     9010.82        -118.66
10/04/2023S N301187           TO SALE                     2655.28        0.00        2536.62
12/04/2023S N301539           TO SALE                     2298.89        0.00        4835.51
12/04/2023S N301564           TO SALE                     4399.00        0.00        9234.51
12/04/2023C C                 RN36592                        0.00     2536.00        6698.51
13/04/2023C A103S             BY CASH N301539 DURGA GE       0.00     2298.89        4399.62
13/04/2023C A103S             BY CASH N301564 DURGA GE       0.00     4399.00           0.62
15/04/2023S N301958           TO SALE                     6159.70        0.00        6160.32
15/04/2023C A305N             BY CASH N301958 DURGA GE       0.00     6159.70           0.62
17/04/2023S N302207           TO SALE                     7523.34        0.00        7523.96
17/04/2023S N302234           TO SALE                      651.00        0.00        8174.96
18/04/2023C A201S             BY CASH N302207 DURGA GE       0.00     7523.34         651.62
18/04/2023C A201S             BY CASH N302234 DURGA GE       0.00      651.00           0.62
19/04/2023S N302506           TO SALE                      410.64        0.00         411.26
19/04/2023S N302531           TO SALE                     1950.14        0.00        2361.40
19/04/2023S O106046           TO SALE                      -16.68        0.00        2344.72
21/04/2023C C                 RN36855                        0.00     2344.00           0.72
24/04/2023S N303150           TO SALE                     1205.40        0.00        1206.12
25/04/2023C A201S             BY CASH N303150 DURGA GE       0.00     1205.40           0.72
26/04/2023S N303511           TO SALE                      880.58        0.00         881.30
27/04/2023C A103S             BY CASH N303511 DURGA GE       0.00      880.58           0.72
28/04/2023S N303820           TO SALE                     2390.52        0.00        2391.24
29/04/2023S N303856           TO SALE                    10666.46        0.00       13057.70
29/04/2023C A305Y             BY CASH N303820 DURGA GE       0.00     2390.52       10667.18
29/04/2023C A305N             BY CASH N303856 DURGA GE       0.00    10666.46           0.72
05/05/2023S N304758           TO SALE                      521.34        0.00         522.06
06/05/2023S N304795           TO SALE                     3571.50        0.00        4093.56
08/05/2023S N305076           TO SALE                     4289.85        0.00        8383.41
08/05/2023C A305S             BY CASH N304758 DURGA GE       0.00      521.34        7862.07
08/05/2023C A305Y             BY CASH N304795 DURGA GE       0.00     3571.50        4290.57
09/05/2023C A201Y             BY CASH N305076 DURGA GE       0.00     4289.85           0.72
10/05/2023S N305390           TO SALE                     5895.74        0.00        5896.46
10/05/2023S O106273           TO SALE                      -15.20        0.00        5881.26
11/05/2023C A103S             BY CASH N305390 DURGA GE       0.00     5895.74         -14.48
12/05/2023S N305636           TO SALE                      910.00        0.00         895.52
12/05/2023S N305673           TO SALE                     1141.40        0.00        2036.92
13/05/2023C C                 RN 39905                       0.00     2036.00           0.92
15/05/2023S N305987           TO SALE                      984.12        0.00         985.04
17/05/2023S N306280           TO SALE                      674.99        0.00        1660.03
17/05/2023C A201S             BY CASH N305987 DURGA GE       0.00      984.12         675.91
18/05/2023C A103S             BY CASH N306280 DURGA GE       0.00      674.99           0.92
20/05/2023S N306676           TO SALE                    14067.90        0.00       14068.82
20/05/2023C A305N             BY CASH N306676 DURGA GE       0.00    14067.90           0.92
22/05/2023S N306912           TO SALE                     2064.78        0.00        2065.70
23/05/2023C A201S             BY CASH N306912 DURGA GE       0.00     2064.78           0.92
24/05/2023S N307187           TO SALE                     3220.94        0.00        3221.86
25/05/2023C A103S             BY CASH N307187 DURGA GE       0.00     3220.94           0.92
26/05/2023S N307551           TO SALE                     1727.88        0.00        1728.80
27/05/2023S N307587           TO SALE                     2666.72        0.00        4395.52
27/05/2023S O106427           TO SALE                    -2318.79        0.00        2076.73
29/05/2023S N307841           TO SALE                     2803.76        0.00        4880.49
29/05/2023C A305S             BY CASH N307551 DURGA GE       0.00     1727.88        3152.61
29/05/2023C A305S             BY CASH N307587 DURGA GE       0.00     2666.72         485.89
30/05/2023S O106458           TO SALE                      -25.02        0.00         460.87
31/05/2023S N308126           TO SALE                      313.93        0.00         774.80
31/05/2023C C                 RN39293                        0.00     2778.00       -2003.20
01/06/2023C A103S             BY CASH N308126 DURGA GE       0.00      313.93       -2317.13
02/06/2023S N308445           TO SALE                      895.00        0.00       -1422.13
03/06/2023S N308481           TO SALE                     4632.56        0.00        3210.43
03/06/2023C A305S             BY CASH N308445 DURGA GE       0.00      895.00        2315.43
03/06/2023C A305N             BY CASH N308481 DURGA GE       0.00     4632.56       -2317.13
05/06/2023S N308769           TO SALE                     2033.65        0.00        -283.48
07/06/2023S N309097           TO SALE                     3691.26        0.00        3407.78
08/06/2023C A201S             BY CASH N308769 DURGA GE       0.00     2033.65        1374.13
08/06/2023C A103S             BY CASH N309097 DURGA GE       0.00     3691.26       -2317.13
09/06/2023S N309386           TO SALE                     1021.88        0.00       -1295.25
10/06/2023S N309426           TO SALE                     6395.18        0.00        5099.93
12/06/2023S N309647           TO SALE                     4121.47        0.00        9221.40
14/06/2023S N310004           TO SALE                      880.58        0.00       10101.98
14/06/2023S N310027           TO SALE                      283.72        0.00       10385.70
14/06/2023C A201S             BY CASH N309647 DURGA GE       0.00     4121.47        6264.23
15/06/2023C A103S             BY CASH N310004 DURGA GE       0.00      880.58        5383.65
15/06/2023C A103S             BY CASH N310027 DURGA GE       0.00      283.72        5099.93
16/06/2023S N310318           TO SALE                     2346.12        0.00        7446.05
16/06/2023J J-CH              BY CH 136198 Q101              0.00     7417.00          29.05
17/06/2023S N310357           TO SALE                    10111.08        0.00       10140.13
17/06/2023C A305S             BY CASH N310318 DURGA GE       0.00     2346.12        7794.01
17/06/2023C A305N             BY CASH N310357 DURGA GE       0.00    10111.08       -2317.07
19/06/2023S N310608           TO SALE                      699.08        0.00       -1617.99
20/06/2023C A201S             BY CASH N310608 DURGA GE       0.00      699.08       -2317.07
21/06/2023S N310884           TO SALE                     1659.88        0.00        -657.19
21/06/2023S N310905           TO SALE                     5329.51        0.00        4672.32
23/06/2023S N311151           TO SALE                      840.00        0.00        5512.32
24/06/2023S N311258           TO SALE                     3317.96        0.00        8830.28
26/06/2023S N311475           TO SALE                     1853.02        0.00       10683.30
26/06/2023S N311496           TO SALE                      796.94        0.00       11480.24
27/06/2023C A201S             BY CASH N311475 DURGA GE       0.00     1853.02        9627.22
27/06/2023C A201S             BY CASH N311496 DURGA GE       0.00      796.94        8830.28
28/06/2023S N311759           TO SALE                     2511.11        0.00       11341.39
28/06/2023S N311780           TO SALE                     2118.64        0.00       13460.03
28/06/2023J J-CH              BY CH 136199 Q101              0.00     8831.00        4629.03
29/06/2023C A103S             BY CASH N311759 DURGA GE       0.00     2511.11        2117.92
29/06/2023C A103S             BY CASH N311780 DURGA GE       0.00     2118.64          -0.72
30/06/2023S N312029           TO SALE                     1409.61        0.00        1408.89
01/07/2023S N312130           TO SALE                    14185.15        0.00       15594.04
01/07/2023C A305S             BY CASH N312029 DURGA GE       0.00     1409.61       14184.43
01/07/2023C A305N             BY CASH N312130 DURGA GE       0.00    14185.15          -0.72
03/07/2023S N312315           TO SALE                     5290.33        0.00        5289.61
04/07/2023C A201S             BY CASH N312315 DURGA GE       0.00     5290.33          -0.72
05/07/2023S N312595           TO SALE                     4887.29        0.00        4886.57
05/07/2023S N312620           TO SALE                     1101.00        0.00        5987.57
06/07/2023C A103S             BY CASH N312595 DURGA GE       0.00     4887.29        1100.28
06/07/2023C A103S             BY CASH N312620 DURGA GE       0.00     1101.00          -0.72
07/07/2023S N312959           TO SALE                     2466.18        0.00        2465.46
08/07/2023S N313000           TO SALE                     4489.70        0.00        6955.16
08/07/2023C A305S             BY CASH N312959 DURGA GE       0.00     2466.18        4488.98
08/07/2023C A305N             BY CASH N313000 DURGA GE       0.00     4489.70          -0.72
14/07/2023S N313579           TO SALE                     3862.63        0.00        3861.91
15/07/2023C A305S             BY CASH N313579 DURGA GE       0.00     3862.63          -0.72
17/07/2023S N313894           TO SALE                     1053.24        0.00        1052.52
18/07/2023C A201Y             BY CASH N313894 DURGA GE       0.00     1053.24          -0.72
19/07/2023S N314130           TO SALE                      880.58        0.00         879.86
19/07/2023S N314155           TO SALE                     2084.50        0.00        2964.36
21/07/2023S N314490           TO SALE                      985.52        0.00        3949.88
21/07/2023C A103Y             BY CASH N314130 DURGA GE       0.00      880.58        3069.30
21/07/2023C A103Y             BY CASH N314155 DURGA GE       0.00     2084.50         984.80
22/07/2023S N314545           TO SALE                     5057.00        0.00        6041.80
24/07/2023S N314744           TO SALE                     2990.78        0.00        9032.58
24/07/2023C A305S             BY CASH N314490 DURGA GE       0.00      985.52        8047.06
24/07/2023C A305Y             BY CASH N314545 DURGA GE       0.00     5057.00        2990.06
25/07/2023C A201S             BY CASH N314744 DURGA GE       0.00     2990.78          -0.72
28/07/2023S N315217           TO SALE                      393.76        0.00         393.04
31/07/2023S N315379           TO SALE                     9901.12        0.00       10294.16
02/08/2023S N315774           TO SALE                     1991.44        0.00       12285.60
02/08/2023S N315797           TO SALE                     4217.29        0.00       16502.89
04/08/2023S N316029           TO SALE                     1075.20        0.00       17578.09
04/08/2023C C                 RN44994                        0.00     5278.00       12300.09
04/08/2023J J-CH              BY CH 136204 Q101              0.00    10295.00        2005.09
05/08/2023S N316124           TO SALE                     3614.20        0.00        5619.29
07/08/2023S N316363           TO SALE                     6180.62        0.00       11799.91
07/08/2023C A305S             BY CASH N316029 DURGA GE       0.00     1075.20       10724.71
07/08/2023C A305Y             BY CASH N316124 DURGA GE       0.00     3614.20        7110.51
08/08/2023S O107272           TO SALE                     -930.96        0.00        6179.55
08/08/2023C A201S             BY CASH N316363 DURGA GE       0.00     6180.62          -1.07
09/08/2023S N316688           TO SALE                     4074.92        0.00        4073.85
12/08/2023S N317046           TO SALE                     7403.60        0.00       11477.45
14/08/2023S N317281           TO SALE                     1829.74        0.00       13307.19
14/08/2023C C                 RN46617                        0.00     4075.00        9232.19
14/08/2023C A305S             BY CASH N317046 DURGA GE       0.00     7403.60        1828.59
16/08/2023S N317550           TO SALE                      880.58        0.00        2709.17
16/08/2023S N317574           TO SALE                      220.90        0.00        2930.07
17/08/2023C A201Y             BY CASH N317281 DURGA GE       0.00     1829.74        1100.33
17/08/2023C A103S             BY CASH N317550 DURGA GE       0.00      880.58         219.75
17/08/2023C A103S             BY CASH N317574 DURGA GE       0.00      220.90          -1.15
18/08/2023S N317937           TO SALE                     4389.98        0.00        4388.83
19/08/2023S N317972           TO SALE                     7854.80        0.00       12243.63
21/08/2023S N318201           TO SALE                     1835.72        0.00       14079.35
21/08/2023C A305S             BY CASH N317937 DURGA GE       0.00     4389.98        9689.37
21/08/2023C A305S             BY CASH N317972 DURGA GE       0.00     7854.80        1834.57
22/08/2023C A201S             BY CASH N318201 DURGA GE       0.00     1835.72          -1.15
23/08/2023S N318505           TO SALE                     2205.11        0.00        2203.96
24/08/2023C A103S             BY CASH N318505 DURGA GE       0.00     2205.11          -1.15
25/08/2023S N318770           TO SALE                     3400.80        0.00        3399.65
26/08/2023S N318883           TO SALE                     6860.24        0.00       10259.89
28/08/2023S N319099           TO SALE                     2093.46        0.00       12353.35
28/08/2023S N319113           TO SALE                      805.00        0.00       13158.35
30/08/2023S N319440           TO SALE                     1458.89        0.00       14617.24
30/08/2023S N319462           TO SALE                     2552.53        0.00       17169.77
30/08/2023J J-CH              BY CH 136207 Q101              0.00     2898.00       14271.77
31/08/2023J J-CH              BY CH 136208 Q101              0.00    10261.00        4010.77
01/09/2023S N319727           TO SALE                     1332.14        0.00        5342.91
02/09/2023S N319837           TO SALE                     8560.64        0.00       13903.55
04/09/2023S N320082           TO SALE                     2818.28        0.00       16721.83
04/09/2023S N320097           TO SALE                      805.00        0.00       17526.83
04/09/2023C A305S             BY CASH N319837 DURGA GE       0.00     8560.64        8966.19
04/09/2023C A305S             BY CASH N319727 DURGA GE       0.00     1332.14        7634.05
05/09/2023J J-CH              BY CH 136209 Q101              0.00     4011.00        3623.05
06/09/2023S N320425           TO SALE                     2919.35        0.00        6542.40
06/09/2023S O107639           TO SALE                     -805.00        0.00        5737.40
07/09/2023S O107665           TO SALE                     -601.38        0.00        5136.02
07/09/2023C C1                RN47670                        0.00     2202.00        2934.02
07/09/2023C A103S             BY CASH N320425 DURGA GE       0.00     2919.35          14.67
08/09/2023S N320740           TO SALE                     1491.44        0.00        1506.11
09/09/2023S N320779           TO SALE                     6073.76        0.00        7579.87
11/09/2023S N320998           TO SALE                     2987.54        0.00       10567.41
12/09/2023C A201Y             BY CASH N320998 DURGA GE       0.00     2987.54        7579.87
13/09/2023S N321335           TO SALE                      867.39        0.00        8447.26
13/09/2023S N321361           TO SALE                     1823.48        0.00       10270.74
14/09/2023C A103S             BY CASH N321335 DURGA GE       0.00      867.39        9403.35
14/09/2023C A103S             BY CASH N321361 DURGA GE       0.00     1823.48        7579.87
14/09/2023J J-CH              BY CH 136211 Q101              0.00     7565.00          14.87
15/09/2023S N321623           TO SALE                     5066.94        0.00        5081.81
16/09/2023S N321676           TO SALE                     6268.54        0.00       11350.35
18/09/2023S N321919           TO SALE                     3476.44        0.00       14826.79
19/09/2023C A201S             BY CASH N321919 DURGA GE       0.00     3476.44       11350.35
20/09/2023S N322204           TO SALE                       75.90        0.00       11426.25
20/09/2023S N322228           TO SALE                      867.39        0.00       12293.64
21/09/2023C A103S             BY CASH N322204 DURGA GE       0.00       75.90       12217.74
21/09/2023C A103S             BY CASH N322228 DURGA GE       0.00      867.39       11350.35
22/09/2023S N322533           TO SALE                     2204.12        0.00       13554.47
22/09/2023J J-CH              BY CH 136212 Q101              0.00    11336.00        2218.47
23/09/2023S N322597           TO SALE                     8593.68        0.00       10812.15
23/09/2023C A305S             BY CASH N322533 DURGA GE       0.00     2204.12        8608.03
23/09/2023C A305N             BY CASH N322597 DURGA GE       0.00     8593.68          14.35
23/09/2023J J95406            BY DIFF                        0.00       14.87          -0.52
25/09/2023S N322813           TO SALE                     2978.19        0.00        2977.67
26/09/2023C A201Y             BY CASH N322813 DURGA GE       0.00     2978.19          -0.52
27/09/2023S N323157           TO SALE                     3733.06        0.00        3732.54
27/09/2023S N323175           TO SALE                      410.64        0.00        4143.18
28/09/2023C A103S             BY CASH N323157 DURGA GE       0.00     3733.06         410.12
28/09/2023C A103S             BY CASH N323175 DURGA GE       0.00      410.64          -0.52
29/09/2023S N323457           TO SALE                     5804.56        0.00        5804.04
30/09/2023S N323535           TO SALE                     7071.26        0.00       12875.30
02/10/2023S N323825           TO SALE                     4443.90        0.00       17319.20
03/10/2023C A201S             BY CASH N323825 DURGA GE       0.00     4443.90       12875.30
04/10/2023S N324099           TO SALE                     1052.08        0.00       13927.38
04/10/2023S N324122           TO SALE                     1192.47        0.00       15119.85
05/10/2023C A103S             BY CASH N324099 DURGA GE       0.00     1052.08       14067.77
05/10/2023C A103S             BY CASH N324122 DURGA GE       0.00     1192.47       12875.30
06/10/2023S N324441           TO SALE                     2128.08        0.00       15003.38
07/10/2023S N324481           TO SALE                     7469.86        0.00       22473.24
07/10/2023J J-CH              BY CH 136213 Q101              0.00    12876.00        9597.24
09/10/2023S N324761           TO SALE                      796.94        0.00       10394.18
09/10/2023S N324777           TO SALE                     1405.26        0.00       11799.44
09/10/2023C A305S             BY CASH N324441 DURGA GE       0.00     2128.08        9671.36
09/10/2023C A305Y             BY CASH N324481 DURGA GE       0.00     7469.86        2201.50
10/10/2023C A201S             BY CASH N324761 DURGA GE       0.00      796.94        1404.56
10/10/2023C A201S             BY CASH N324777 DURGA GE       0.00     1405.26          -0.70
11/10/2023S N325087           TO SALE                     1258.24        0.00        1257.54
11/10/2023S N325088           TO SALE                      672.97        0.00        1930.51
12/10/2023C A103S             BY CASH N325087 DURGA GE       0.00     1258.24         672.27
12/10/2023C A103S             BY CASH N325088 DURGA GE       0.00      672.97          -0.70
13/10/2023S N325316           TO SALE                     2379.02        0.00        2378.32
14/10/2023S N325398           TO SALE                     7209.40        0.00        9587.72
16/10/2023S N325665           TO SALE                     2308.72        0.00       11896.44
17/10/2023C A201S             BY CASH N325665 DURGA GE       0.00     2308.72        9587.72
18/10/2023S N325923           TO SALE                      871.78        0.00       10459.50
18/10/2023S N325947           TO SALE                     2419.82        0.00       12879.32
19/10/2023C A103S             BY CASH N325923 DURGA GE       0.00      871.78       12007.54
19/10/2023C A103S             BY CASH N325947 DURGA GE       0.00     2419.82        9587.72
20/10/2023S N326190           TO SALE                     4194.16        0.00       13781.88
20/10/2023J J-CH              BY CH 136214 Q101              0.00     9588.00        4193.88
21/10/2023S N326287           TO SALE                     6268.53        0.00       10462.41
21/10/2023S O108120           TO SALE                    -2139.38        0.00        8323.03
23/10/2023S N326498           TO SALE                     5636.27        0.00       13959.30
24/10/2023C A201Y             BY CASH N326498 DURGA GE       0.00     5636.27        8323.03
