

A/C GIAN HOTELWALA BADHAL       In M/S RAM KISHAN JIVA RAM Page No. 1
 C064 VILL.  PO BADHAL VIA JEORI                  PAN            9816476229  HBR
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F     111183.74
01/04/2023S L164532           TO SALE                    10320.90        0.00      121504.64
01/04/2023S L164533           TO SALE                    16425.44        0.00      137930.08
01/04/2023S L164563           TO SALE                    20741.01        0.00      158671.09
10/04/2023J J-CH              BY CH 167579 Q101              0.00   110000.00       48671.09
14/04/2023S L165763           TO SALE                    38622.60        0.00       87293.69
14/04/2023S L165764           TO SALE                    58484.64        0.00      145778.33
14/04/2023S L165781           TO SALE                    16144.50        0.00      161922.83
18/04/2023J J-CH              BY CH 167580 Q101              0.00    48000.00      113922.83
24/04/2023S C627375           TO SALE                    13737.85        0.00      127660.68
24/04/2023S C627376           TO SALE                    11178.88        0.00      138839.56
24/04/2023S L166538           TO SALE                     4309.42        0.00      143148.98
24/04/2023S L166542           TO SALE                    12968.16        0.00      156117.14
24/04/2023C C50640            TO CASH B304199             7119.99        0.00      163237.13
25/04/2023C C50661            TO CASH B304156             4427.93        0.00      167665.06
27/04/2023S N303550           TO SALE                    61938.03        0.00      229603.09
28/04/2023S L166908           TO SALE                    34754.08        0.00      264357.17
09/05/2023J J-CH              BY CH 167581 Q101              0.00   110000.00      154357.17
19/05/2023S L168361           TO SALE                    14988.43        0.00      169345.60
19/05/2023S L168362           TO SALE                    10428.90        0.00      179774.50
19/05/2023S L168374           TO SALE                     5341.94        0.00      185116.44
23/05/2023S O106370           TO SALE                    -3313.50        0.00      181802.94
25/05/2023J J-CH              BY CH 167582 Q101              0.00   154357.00       27445.94
29/05/2023S L169010           TO SALE                     9320.00        0.00       36765.94
09/06/2023S L169842           TO SALE                    25322.30        0.00       62088.24
09/06/2023S L169843           TO SALE                    49642.12        0.00      111730.36
09/06/2023S L169880           TO SALE                    16841.82        0.00      128572.18
12/06/2023S N309677           TO SALE                     5738.11        0.00      134310.29
12/06/2023J J-CH              BY CH 167583 Q101              0.00    36765.00       97545.29
30/06/2023S L171516           TO SALE                    13066.99        0.00      110612.28
30/06/2023S L171574           TO SALE                    16043.60        0.00      126655.88
30/06/2023S L171575           TO SALE                    52555.26        0.00      179211.14
30/06/2023J J-CH              BY CH 167584 Q101              0.00    97000.00       82211.14
20/07/2023J J-CH              BY CH 167585 Q101              0.00    70000.00       12211.14
21/07/2023S L172802           TO SALE                    37045.48        0.00       49256.62
21/07/2023S L172803           TO SALE                     8662.50        0.00       57919.12
21/07/2023S L172818           TO SALE                     3581.84        0.00       61500.96
24/07/2023S L172979           TO SALE                     3712.50        0.00       65213.46
09/08/2023S L173944           TO SALE                     7607.69        0.00       72821.15
09/08/2023S L173961           TO SALE                    25242.60        0.00       98063.75
09/08/2023S L173962           TO SALE                    68091.22        0.00      166154.97
11/08/2023J J-CH              BY CH 167586 Q101              0.00    65213.00      100941.97
12/08/2023S L174283           TO SALE                    10337.66        0.00      111279.63
31/08/2023J J-CH              BY CH 167587 Q101              0.00   100000.00       11279.63
18/09/2023J J-CH              BY CH 167588 Q101              0.00    11280.00          -0.37
20/09/2023S L176851           TO SALE                     9647.34        0.00        9646.97
21/09/2023S L176952           TO SALE                    44043.97        0.00       53690.94
21/09/2023S L176955           TO SALE                    13916.10        0.00       67607.04
03/10/2023S L177798           TO SALE                     5601.70        0.00       73208.74
03/10/2023J J-CH              BY CH 167589 Q101              0.00    67607.00        5601.74
04/11/2023S L180295           TO SALE                    11015.00        0.00       16616.74
06/11/2023S L180367           TO SALE                    13283.40        0.00       29900.14
06/11/2023S L180368           TO SALE                    49052.28        0.00       78952.42
10/11/2023S L180795           TO SALE                    11020.00        0.00       89972.42
13/11/2023J J-CH              BY CH 167594 Q101              0.00    78952.00       11020.42

                         TOTAL                          960194.42   949174.00       11020.42


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
