

A/C PAPPU HOTEL TAPRI        In M/S RAM KISHAN JIVA RAM Page No. 1
 D116 VILL.  PO TAPRI                             PAN            9816179261  SCR
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F     120273.65
04/04/2023C C                 RN35664                        0.00    40000.00       80273.65
04/04/2023C C                 RN35665                        0.00    30000.00       50273.65
05/04/2023S L164941           TO SALE                    16262.65        0.00       66536.30
05/04/2023S L164942           TO SALE                    13045.68        0.00       79581.98
05/04/2023S L164954           TO SALE                     2220.81        0.00       81802.79
18/04/2023C C1                RN37022                        0.00    50000.00       31802.79
20/04/2023S L166198           TO SALE                     3479.42        0.00       35282.21
20/04/2023S L166236           TO SALE                    23319.51        0.00       58601.72
02/05/2023C C                 RN37082                        0.00    40000.00       18601.72
03/05/2023S L167104           TO SALE                     8051.76        0.00       26653.48
03/05/2023S L167117           TO SALE                    21783.90        0.00       48437.38
03/05/2023S L167118           TO SALE                    49106.12        0.00       97543.50
09/05/2023C C                 RN38481                        0.00    15000.00       82543.50
13/05/2023S L167892           TO SALE                    20247.15        0.00      102790.65
13/05/2023S L167893           TO SALE                    17964.12        0.00      120754.77
13/05/2023S L167898           TO SALE                     1285.20        0.00      122039.97
17/05/2023C C                 RN39726                        0.00    50000.00       72039.97
17/05/2023C C                 RN39727                        0.00    50000.00       22039.97
18/05/2023S L168269           TO SALE                    12101.88        0.00       34141.85
19/05/2023S L168303           TO SALE                      605.00        0.00       34746.85
19/05/2023S L168304           TO SALE                     3366.28        0.00       38113.13
23/05/2023C C                 RN40315                        0.00    25000.00       13113.13
26/05/2023S L168738           TO SALE                     9320.00        0.00       22433.13
26/05/2023S L168739           TO SALE                    24656.86        0.00       47089.99
30/05/2023C C                 RN40265                        0.00    13000.00       34089.99
31/05/2023S L169215           TO SALE                     9382.34        0.00       43472.33
01/06/2023S L169255           TO SALE                     6074.70        0.00       49547.03
01/06/2023S L169256           TO SALE                    26918.28        0.00       76465.31
10/06/2023S L169963           TO SALE                      971.26        0.00       77436.57
10/06/2023S L169972           TO SALE                    32178.60        0.00      109615.17
10/06/2023S L169973           TO SALE                    21315.87        0.00      130931.04
13/06/2023C C                 RN41290                        0.00    50000.00       80931.04
15/06/2023S L170302           TO SALE                    15094.80        0.00       96025.84
15/06/2023S L170303           TO SALE                    72777.96        0.00      168803.80
15/06/2023S L170304           TO SALE                     3071.56        0.00      171875.36
20/06/2023C C1                RN41668                        0.00    50000.00      121875.36
20/06/2023C C1                RN41669                        0.00    25000.00       96875.36
22/06/2023S L170926           TO SALE                     1210.00        0.00       98085.36
22/06/2023S L170927           TO SALE                     3762.73        0.00      101848.09
28/06/2023S L171266           TO SALE                    33749.50        0.00      135597.59
28/06/2023S L171267           TO SALE                    71323.83        0.00      206921.42
28/06/2023S L171272           TO SALE                     6921.28        0.00      213842.70
21/07/2023C C                 RN44528                        0.00    50000.00      163842.70
21/07/2023C C                 RN44529                        0.00    20000.00      143842.70
25/07/2023S L173108           TO SALE                    19340.00        0.00      163182.70
25/07/2023S L173109           TO SALE                    33441.29        0.00      196623.99
28/07/2023S O107127           TO SALE                    -2150.40        0.00      194473.59
31/07/2023C C                 RN44584                        0.00    50000.00      144473.59
31/07/2023C C                 RN44585                        0.00    50000.00       94473.59
03/08/2023S L173590           TO SALE                     3479.70        0.00       97953.29
04/08/2023S L173627           TO SALE                    50570.00        0.00      148523.29
10/08/2023S L174102           TO SALE                     6958.84        0.00      155482.13
10/08/2023S L174138           TO SALE                    10851.00        0.00      166333.13
14/08/2023C C                 RN46055                        0.00    60000.00      106333.13
16/08/2023S L174463           TO SALE                     4920.30        0.00      111253.43
16/08/2023S L174483           TO SALE                     2521.18        0.00      113774.61
16/08/2023S L174484           TO SALE                     6171.60        0.00      119946.21
28/08/2023C C                 RN47329                        0.00    60000.00       59946.21
30/08/2023S L175425           TO SALE                     4920.30        0.00       64866.51
30/08/2023S L175441           TO SALE                    57790.00        0.00      122656.51
02/09/2023C C                 RN 47924                       0.00    20000.00      102656.51
18/09/2023S L176665           TO SALE                     6766.52        0.00      109423.03
18/09/2023S L176689           TO SALE                    43795.40        0.00      153218.43
18/09/2023S L176690           TO SALE                    41967.12        0.00      195185.55
22/09/2023C C                 RN49221                        0.00    20000.00      175185.55
22/09/2023C C                 RN49222                        0.00    25000.00      150185.55
22/09/2023C C                 RN49223                        0.00    25000.00      125185.55
27/09/2023S L177406           TO SALE                    36864.15        0.00      162049.70
27/09/2023S L177407           TO SALE                    79795.79        0.00      241845.49
27/09/2023S L177411           TO SALE                     9180.06        0.00      251025.55
30/09/2023C C                 RN48660                        0.00    50000.00      201025.55
04/10/2023S L177878           TO SALE                    17082.14        0.00      218107.69
04/10/2023S L177882           TO SALE                   170240.00        0.00      388347.69
07/10/2023C C                 RN51826                        0.00    50000.00      338347.69
07/10/2023C C                 RN51827                        0.00    50000.00      288347.69
07/10/2023C C                 RN51828                        0.00    50000.00      238347.69
07/10/2023C C                 RN51829                        0.00    10000.00      228347.69
09/10/2023S L178348           TO SALE                    19950.50        0.00      248298.19
09/10/2023S L178355           TO SALE                      548.32        0.00      248846.51
14/10/2023S L178791           TO SALE                     8342.84        0.00      257189.35
16/10/2023S L178828           TO SALE                    29196.76        0.00      286386.11
21/10/2023C C                 RN52113                        0.00    50000.00      236386.11
21/10/2023C C                 RN52114                        0.00    20000.00      216386.11
23/10/2023S L179317           TO SALE                    26300.00        0.00      242686.11
02/11/2023S L180030           TO SALE                     8600.02        0.00      251286.13
03/11/2023S L180100           TO SALE                    15283.85        0.00      266569.98
03/11/2023S O108272           TO SALE                    -8600.02        0.00      257969.96
07/11/2023S O108301           TO SALE                   -15283.85        0.00      242686.11

                         TOTAL                         1340686.11  1098000.00      242686.11


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
