

A/C SHARMA GENERAL STORE KAZA         In M/S RAM KISHAN JIVA RAM Page No. 1
 G021 VILL.  PO. KAZA                             PAN            8988138139  Z7G
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F        -717.88
19/04/2023S S438714           TO SALE                    36389.18        0.00       35671.30
20/04/2023S S438783           TO SALE                    70011.51        0.00      105682.81
26/04/2023C C                 RN38027                        0.00    20000.00       85682.81
26/04/2023J J93285            BY CASH ON LINE                0.00    25000.00       60682.81
26/04/2023J J-CH              BY CH 192380 Q101              0.00    22331.00       38351.81
01/05/2023S S440195           TO SALE                    23596.36        0.00       61948.17
01/05/2023S S440208           TO SALE                    34321.22        0.00       96269.39
02/05/2023J J93359            BY CASH ON LINE                0.00    25000.00       71269.39
05/05/2023J J93407            BY GOOGLE                      0.00    13351.00       57918.39
06/05/2023J J93429            BY CASH ON LINE                0.00    20000.00       37918.39
08/05/2023S O106252           TO SALE                    -1418.10        0.00       36500.29
08/05/2023C C                 RN38701                        0.00    17000.00       19500.29
09/05/2023S S441271           TO SALE                     7614.02        0.00       27114.31
09/05/2023S S441285           TO SALE                    21827.45        0.00       48941.76
09/05/2023J J93452            BY ON LINE                     0.00    20000.00       28941.76
10/05/2023S O106277           TO SALE                    -1320.99        0.00       27620.77
15/05/2023C C                 RN 38951                       0.00    10000.00       17620.77
16/05/2023S S442200           TO SALE                    17665.90        0.00       35286.67
16/05/2023S S442210           TO SALE                    10107.11        0.00       45393.78
22/05/2023C C                 RN39525                        0.00    17621.00       27772.78
22/05/2023C C                 RN39526                        0.00    10000.00       17772.78
23/05/2023S S443148           TO SALE                    30280.61        0.00       48053.39
23/05/2023S S443165           TO SALE                    14673.90        0.00       62727.29
30/05/2023C C                 RN39552                        0.00    17775.00       44952.29
31/05/2023S S444223           TO SALE                    17997.07        0.00       62949.36
01/06/2023S S444307           TO SALE                    29939.18        0.00       92888.54
07/06/2023C C1                RN41501                        0.00    40000.00       52888.54
07/06/2023C C1                RN41502                        0.00     4952.29       47936.25
12/06/2023S S445787           TO SALE                     9623.92        0.00       57560.17
12/06/2023S S445813           TO SALE                    19386.90        0.00       76947.07
20/06/2023C C                 RN42208                        0.00    30000.00       46947.07
20/06/2023C C                 RN42209                        0.00     7940.00       39007.07
20/06/2023J J-CH              BY CH 216580 Q101              0.00    10000.00       29007.07
21/06/2023S S447232           TO SALE                    11035.84        0.00       40042.91
21/06/2023S S447249           TO SALE                    45748.81        0.00       85791.72
23/06/2023S S447534           TO SALE                     6240.20        0.00       92031.92
29/06/2023C C                 RN43113                        0.00    30000.00       62031.92
30/06/2023S S448446           TO SALE                    15810.64        0.00       77842.56
30/06/2023S S448453           TO SALE                    16370.90        0.00       94213.46
08/07/2023C C                 RN43144                        0.00    30000.00       64213.46
08/07/2023C C                 RN43145                        0.00    30000.00       34213.46
08/07/2023C C                 RN43146                        0.00     2034.85       32178.61
10/07/2023S S449673           TO SALE                    12628.98        0.00       44807.59
17/07/2023S S450215           TO SALE                    19520.87        0.00       64328.46
17/07/2023S S450216           TO SALE                    20096.16        0.00       84424.62
19/07/2023J J94478            BY GOOGLE                      0.00    20000.00       64424.62
24/07/2023C C                 RN44052                        0.00    20000.00       44424.62
25/07/2023S S451178           TO SALE                    24448.85        0.00       68873.47
25/07/2023S S451197           TO SALE                    20614.26        0.00       89487.73
26/07/2023S S451285           TO SALE                     1642.08        0.00       91129.81
31/07/2023S L173379           TO SALE                     4959.24        0.00       96089.05
31/07/2023S S451886           TO SALE                     7545.98        0.00      103635.03
01/08/2023S S451927           TO SALE                    49445.30        0.00      153080.33
05/08/2023S S452565           TO SALE                     9749.93        0.00      162830.26
05/08/2023S S452574           TO SALE                    37998.42        0.00      200828.68
05/08/2023C C                 RN45123                        0.00    44430.00      156398.68
05/08/2023C C                 RN45144                        0.00    46706.00      109692.68
05/08/2023C C                 RN45145                        0.00     4950.00      104742.68
12/08/2023C C                 RN45156                        0.00    50000.00       54742.68
12/08/2023C C                 RN45157                        0.00     6992.00       47750.68
14/08/2023S S453573           TO SALE                    32900.42        0.00       80651.10
14/08/2023S S453580           TO SALE                     8546.25        0.00       89197.35
28/08/2023C C1                RN46057                        0.00    47750.00       41447.35
28/08/2023C C1                RN46065                        0.00    41450.00          -2.65
01/09/2023S S455869           TO SALE                    22426.23        0.00       22423.58
01/09/2023S S455885           TO SALE                    72186.54        0.00       94610.12
08/09/2023C C                 RN48406                        0.00    35000.00       59610.12
11/09/2023J J95227            BY GOOGLE                      0.00    30000.00       29610.12
15/09/2023J J95284            BY CASH ON LINE                0.00    25000.00        4610.12
15/09/2023J J95288            BY GOOGLE                      0.00     5000.00        -389.88
16/09/2023S S457866           TO SALE                    12859.97        0.00       12470.09
16/09/2023S S457878           TO SALE                     3151.88        0.00       15621.97
18/09/2023S S458084           TO SALE                    31698.41        0.00       47320.38
27/09/2023J J95450            BY GOOGLE                      0.00    25000.00       22320.38
02/10/2023S S459978           TO SALE                      664.38        0.00       22984.76
02/10/2023C C                 RN48934                        0.00    10000.00       12984.76
02/10/2023J J95525            BY GOOGLE                      0.00    13000.00         -15.24
09/10/2023S C630617           TO SALE                      939.28        0.00         924.04
09/10/2023S S460935           TO SALE                    43920.00        0.00       44844.04
09/10/2023S S460977           TO SALE                    23935.26        0.00       68779.30
13/10/2023J J95723            BY GOOGLE                      0.00    30000.00       38779.30
19/10/2023S S462612           TO SALE                    17561.57        0.00       56340.87
19/10/2023S S462619           TO SALE                     2419.20        0.00       58760.07
28/10/2023S S463712           TO SALE                     7016.32        0.00       65776.39
01/11/2023S S464176           TO SALE                     3310.56        0.00       69086.95
01/11/2023J J96020            BY GOOGLE                      0.00    35000.00       34086.95
08/11/2023J J96150            BY GOOGLE                      0.00    20000.00       14086.95
14/11/2023S S465850           TO SALE                    15438.78        0.00       29525.73
14/11/2023S S465873           TO SALE                    39330.26        0.00       68855.99
15/11/2023S O108432           TO SALE                     -648.24        0.00       68207.75
16/11/2023S O108439           TO SALE                     -346.92        0.00       67860.83
20/11/2023J J96346            BY CASH ON LINE                0.00    25000.00       42860.83
21/11/2023J J96364            BY CASH ON LINE                0.00    25000.00       17860.83

                         TOTAL                          981861.85   964001.02       17860.83


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
