

A/C PALJOR GEN STORE RANGRIK      In M/S RAM KISHAN JIVA RAM Page No. 1
 G914 VILL.   PO RANGRIK VIA KAZA                 PAN            9418433824  Z7G
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F          0.00
16/05/2023S S442193           TO SALE                   182674.35        0.00      182674.35
16/05/2023S S442194           TO SALE                    33038.90        0.00      215713.25
16/05/2023S S442216           TO SALE                    13816.24        0.00      229529.49
16/05/2023S S442217           TO SALE                    53904.96        0.00      283434.45
19/05/2023S O106350           TO SALE                    -2553.60        0.00      280880.85
22/05/2023C C                 RN39520                        0.00    25000.00      255880.85
22/05/2023C C                 RN39521                        0.00    25000.00      230880.85
22/05/2023C C                 RN39522                        0.00    25000.00      205880.85
22/05/2023C C                 RN39523                        0.00    25000.00      180880.85
22/05/2023C C                 RN39524                        0.00    13434.00      167446.85
23/05/2023C C                 RN39538                        0.00    25000.00      142446.85
23/05/2023C C                 RN39539                        0.00    25000.00      117446.85
23/05/2023C C                 RN39540                        0.00    25000.00       92446.85
23/05/2023C C                 RN39541                        0.00    25000.00       67446.85
30/05/2023J J93747            BY CH 260750                   0.00    70000.00       -2553.15
12/06/2023S S445795           TO SALE                    33846.38        0.00       31293.23
12/06/2023S S445796           TO SALE                    49236.94        0.00       80530.17
20/06/2023C C                 RN42206                        0.00    40000.00       40530.17
20/06/2023C C                 RN42207                        0.00    40530.00           0.17
21/06/2023S S447238           TO SALE                    20141.68        0.00       20141.85
21/06/2023S S447241           TO SALE                    81721.20        0.00      101863.05
10/07/2023S S449678           TO SALE                    13733.69        0.00      115596.74
12/07/2023S E191563           TO SALE                    36689.90        0.00      152286.64
17/07/2023S S450203           TO SALE                    99889.92        0.00      252176.56
24/07/2023C C                 RN44042                        0.00    20000.00      232176.56
24/07/2023C C                 RN44043                        0.00    20000.00      212176.56
24/07/2023C C                 RN44044                        0.00    20000.00      192176.56
24/07/2023C C                 RN44045                        0.00    20000.00      172176.56
24/07/2023C C                 RN44046                        0.00    20000.00      152176.56
24/07/2023C C                 RN44047                        0.00     1863.00      150313.56
24/07/2023C C                 RN44048                        0.00    25000.00      125313.56
24/07/2023C C                 RN44049                        0.00    25000.00      100313.56
24/07/2023C C                 RN44050                        0.00    25000.00       75313.56
25/07/2023S S451184           TO SALE                    15614.72        0.00       90928.28
25/07/2023S S451186           TO SALE                    27992.20        0.00      118920.48
05/08/2023S S452570           TO SALE                    46128.29        0.00      165048.77
05/08/2023S S452579           TO SALE                    90289.27        0.00      255338.04
12/08/2023C C                 RN45151                        0.00    50000.00      205338.04
12/08/2023C C                 RN45152                        0.00    25000.00      180338.04
12/08/2023C C                 RN45153                        0.00    25000.00      155338.04
12/08/2023C C                 RN45154                        0.00    25000.00      130338.04
12/08/2023C C                 RN45155                        0.00    25000.00      105338.04
14/08/2023S M206359           TO SALE                    -3394.38        0.00      101943.66
14/08/2023C C1                RN45171                        0.00    25000.00       76943.66
14/08/2023C C1                RN45172                        0.00    25000.00       51943.66
14/08/2023C C1                RN45173                        0.00    25000.00       26943.66
14/08/2023C C1                RN45174                        0.00    25000.00        1943.66
22/08/2023S S454428           TO SALE                    48795.81        0.00       50739.47
22/08/2023S S454430           TO SALE                    35875.18        0.00       86614.65
28/08/2023C C1                RN46071                        0.00     2999.00       83615.65
08/09/2023C C                 RN48403                        0.00    40000.00       43615.65
08/09/2023C C                 RN48404                        0.00    40000.00        3615.65
08/09/2023C C                 RN48405                        0.00     3615.65           0.00
16/09/2023S S457872           TO SALE                     9507.24        0.00        9507.24
18/09/2023S S458069           TO SALE                    20182.90        0.00       29690.14
18/09/2023S S458070           TO SALE                    72098.06        0.00      101788.20
30/09/2023S S459841           TO SALE                     6654.69        0.00      108442.89
02/10/2023S S459963           TO SALE                   111413.14        0.00      219856.03
03/10/2023J J-CH              BY CH 260766 Q101              0.00   101788.00      118068.03
06/10/2023S L178119           TO SALE                     4200.00        0.00      122268.03
08/11/2023J J96156            BY CH 260774                   0.00   122268.00           0.03

                         TOTAL                         1101497.68  1101497.65           0.03


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
