

A/C POLICE MESS RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 H001 VILL.   PO RAMPUR BUSHAHR                   PAN                     0  IGI
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      25939.66
01/04/2023S C626857           TO SALE                     2074.23        0.00       28013.89
01/04/2023S C626862           TO SALE                    16405.31        0.00       44419.20
03/04/2023S C626870           TO SALE                      122.15        0.00       44541.35
05/04/2023C C                 RN36182                        0.00    15000.00       29541.35
13/04/2023J J93130            BY TRANS                       0.00    10940.00       18601.35
14/04/2023S C627178           TO SALE                      925.00        0.00       19526.35
14/04/2023S C627179           TO SALE                     2016.58        0.00       21542.93
19/04/2023S B543756           TO SALE                     4261.50        0.00       25804.43
01/05/2023S B544276           TO SALE                    15680.06        0.00       41484.49
01/05/2023S C627519           TO SALE                     2855.26        0.00       44339.75
03/05/2023C C                 RN38179                        0.00    12000.00       32339.75
13/05/2023J J93518            BY UPI                         0.00    13804.00       18535.75
26/05/2023S B545385           TO SALE                     4007.50        0.00       22543.25
01/06/2023S B545643           TO SALE                    14293.50        0.00       36836.75
01/06/2023S C628205           TO SALE                     4428.92        0.00       41265.67
05/06/2023C C                 RN40496                        0.00     8000.00       33265.67
12/06/2023J J93969            BY CARD                        0.00    14543.00       18722.67
15/06/2023S B546277           TO SALE                     4274.75        0.00       22997.42
15/06/2023S C628505           TO SALE                      511.62        0.00       23509.04
19/06/2023S B546433           TO SALE                      861.55        0.00       24370.59
03/07/2023S B546999           TO SALE                    11742.32        0.00       36112.91
03/07/2023S B547016           TO SALE                      656.40        0.00       36769.31
03/07/2023S C628825           TO SALE                     1038.71        0.00       37808.02
05/07/2023C C1                RN42300                        0.00    10000.00       27808.02
13/07/2023J J94400            BY GOOGLE                      0.00    14370.00       13438.02
17/07/2023S B547524           TO SALE                     2885.75        0.00       16323.77
24/07/2023S B547777           TO SALE                     3102.90        0.00       19426.67
24/07/2023S C629174           TO SALE                     1037.58        0.00       20464.25
01/08/2023S B548074           TO SALE                    16169.20        0.00       36633.45
01/08/2023S C629285           TO SALE                     2390.37        0.00       39023.82
04/08/2023C C1                RN45298                        0.00     9000.00       30023.82
05/08/2023S B548221           TO SALE                     1527.68        0.00       31551.50
07/08/2023S B548307           TO SALE                       54.00        0.00       31605.50
07/08/2023S B548308           TO SALE                      841.44        0.00       32446.94
09/08/2023S B548399           TO SALE                      790.00        0.00       33236.94
12/08/2023J J94824            BY GOOGLE                      0.00    11464.00       21772.94
24/08/2023S B549052           TO SALE                     2202.60        0.00       23975.54
02/09/2023S B549457           TO SALE                    14740.05        0.00       38715.59
02/09/2023S C629901           TO SALE                     4042.80        0.00       42758.39
05/09/2023C C1                RN48093                        0.00    14000.00       28758.39
09/09/2023J J95221            BY GOOGLE                      0.00     9976.00       18782.39
19/09/2023S B550241           TO SALE                     3201.50        0.00       21983.89
19/09/2023S C630212           TO SALE                      105.45        0.00       22089.34
02/10/2023S B550795           TO SALE                    15635.22        0.00       37724.56
02/10/2023S C630460           TO SALE                     2298.14        0.00       40022.70
05/10/2023S B550962           TO SALE                     1886.57        0.00       41909.27
07/10/2023C c1                RN50484                        0.00    15000.00       26909.27
13/10/2023J J95720            BY SCAN                        0.00     7090.00       19819.27
23/10/2023S B551713           TO SALE                     4262.00        0.00       24081.27
03/11/2023S B552209           TO SALE                    18677.06        0.00       42758.33
03/11/2023S C631159           TO SALE                     3381.08        0.00       46139.41
09/11/2023C C                 RN53175                        0.00    24081.27       22058.14
10/11/2023S B552538           TO SALE                    32172.78        0.00       54230.92
10/11/2023S C631340           TO SALE                     5975.51        0.00       60206.43
11/11/2023S C631362           TO SALE                      718.89        0.00       60925.32
11/11/2023C C52978            TO CASH B353291             1127.88        0.00       62053.20
12/11/2023S B552638           TO SALE                     3180.00        0.00       65233.20
13/11/2023S B552672           TO SALE                     3667.20        0.00       68900.40
13/11/2023S C631393           TO SALE                     1457.68        0.00       70358.08
13/11/2023C C53002            TO CASH B353730              585.59        0.00       70943.67
24/11/2023S B553156           TO SALE                     4428.95        0.00       75372.62
24/11/2023S C631619           TO SALE                     1281.02        0.00       76653.64

                         TOTAL                          265921.91   189268.27       76653.64


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
