

A/C PARKASH BROTHER  DALASH DALASH       In M/S RAM KISHAN JIVA RAM Page No. 1
 I059 VILL.   PO DALASH VIA LUHRI                 PAN            7018577371  DGV
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      27667.93
04/04/2023S O105858           TO SALE                     -458.44        0.00       27209.49
04/04/2023J J-CH              BY CH 599268 Q119              0.00     3561.00       23648.49
06/04/2023S S436973           TO SALE                     2649.92        0.00       26298.41
07/04/2023S O105883           TO SALE                     -295.54        0.00       26002.87
07/04/2023S S436986           TO SALE                     7028.81        0.00       33031.68
12/04/2023J J-CH              BY CH 599269 Q119              0.00    24244.00        8787.68
13/04/2023S S437915           TO SALE                     7155.56        0.00       15943.24
13/04/2023S S437950           TO SALE                    15509.57        0.00       31452.81
19/04/2023J J-CH              BY CH 599272 Q119              0.00     9212.00       22240.81
20/04/2023S S438860           TO SALE                     9034.08        0.00       31274.89
21/04/2023S S438905           TO SALE                     5796.57        0.00       37071.46
25/04/2023J J-CH              BY CH 599276 Q119              0.00    22665.00       14406.46
27/04/2023S S439764           TO SALE                     8278.83        0.00       22685.29
28/04/2023S S439863           TO SALE                      876.69        0.00       23561.98
02/05/2023J J-CH              BY CH 599278 Q119              0.00    14830.00        8731.98
04/05/2023S S440681           TO SALE                    23896.15        0.00       32628.13
05/05/2023S S440729           TO SALE                    10738.97        0.00       43367.10
08/05/2023J J-CH              BY CH 599280 Q119              0.00     9155.00       34212.10
11/05/2023S S441649           TO SALE                    17228.50        0.00       51440.60
11/05/2023S S441662           TO SALE                     7075.54        0.00       58516.14
16/05/2023J J-CH              BY CH 599283 Q119              0.00    34635.00       23881.14
18/05/2023S S442585           TO SALE                     7536.99        0.00       31418.13
18/05/2023S S442591           TO SALE                     8625.21        0.00       40043.34
24/05/2023J J-CH              BY CH 599285 Q119              0.00    24304.00       15739.34
24/05/2023J J-CH              BY CH 599288 Q119              0.00    16162.00        -422.66
25/05/2023S S443457           TO SALE                     8548.40        0.00        8125.74
26/05/2023S S443544           TO SALE                     2648.18        0.00       10773.92
27/05/2023J J93724            TO TFR                      2599.59        0.00       13373.51
01/06/2023S S444315           TO SALE                     3709.84        0.00       17083.35
02/06/2023S S444388           TO SALE                     1932.77        0.00       19016.12
06/06/2023J J-CH              BY CH 599289 Q119              0.00    13796.00        5220.12
08/06/2023S S445344           TO SALE                     5949.40        0.00       11169.52
08/06/2023S S445359           TO SALE                    10162.38        0.00       21331.90
13/06/2023J J-CH              BY CH 599291 Q119              0.00     5642.00       15689.90
15/06/2023S S446317           TO SALE                    11122.81        0.00       26812.71
16/06/2023S S446376           TO SALE                      628.00        0.00       27440.71
20/06/2023J J-CH              BY CH 599294 Q119              0.00    16111.00       11329.71
22/06/2023S S447375           TO SALE                    11928.37        0.00       23258.08
23/06/2023S S447407           TO SALE                    21474.74        0.00       44732.82
26/06/2023J J-CH              BY CH 599298 Q119              0.00    11750.00       32982.82
29/06/2023S S448316           TO SALE                    11258.06        0.00       44240.88
29/06/2023S S448330           TO SALE                     8665.09        0.00       52905.97
03/07/2023S O106861           TO SALE                    -1243.93        0.00       51662.04
04/07/2023J J-CH              BY CH 599300 Q119              0.00    33402.00       18260.04
06/07/2023S S449185           TO SALE                    15492.58        0.00       33752.62
07/07/2023S S449258           TO SALE                     8245.44        0.00       41998.06
10/07/2023J J-CH              BY CH 908853 Q119              0.00    18680.00       23318.06
13/07/2023S S449841           TO SALE                    10260.53        0.00       33578.59
15/07/2023S S450040           TO SALE                     2982.67        0.00       36561.26
18/07/2023J J-CH              BY CH 908854 Q119              0.00    23738.00       12823.26
20/07/2023S S450648           TO SALE                     8520.60        0.00       21343.86
21/07/2023S S450751           TO SALE                     7492.29        0.00       28836.15
26/07/2023J J-CH              BY CH 908857 Q119              0.00    13243.00       15593.15
27/07/2023S S451438           TO SALE                     7625.16        0.00       23218.31
28/07/2023S S451513           TO SALE                     6414.20        0.00       29632.51
03/08/2023S S452251           TO SALE                     7278.58        0.00       36911.09
04/08/2023S S452342           TO SALE                    15524.92        0.00       52436.01
05/08/2023J J-CH              BY CH 908860 Q119              0.00    16013.00       36423.01
08/08/2023J J-CH              BY CH 908862 Q119              0.00    14039.00       22384.01
10/08/2023S S453080           TO SALE                    12000.60        0.00       34384.61
11/08/2023S S453159           TO SALE                     1718.68        0.00       36103.29
16/08/2023J J-CH              BY CH 908863 Q119              0.00    22803.00       13300.29
17/08/2023S S453926           TO SALE                     7378.18        0.00       20678.47
18/08/2023S S453993           TO SALE                     9749.32        0.00       30427.79
22/08/2023J J-CH              BY CH 908867 Q119              0.00    13719.00       16708.79
24/08/2023S S454814           TO SALE                    13378.42        0.00       30087.21
26/08/2023S S455079           TO SALE                    12054.27        0.00       42141.48
29/08/2023J J-CH              BY CH 908868 Q119              0.00    17127.00       25014.48
31/08/2023S S455710           TO SALE                    12482.95        0.00       37497.43
31/08/2023S S455747           TO SALE                    19741.70        0.00       57239.13
07/09/2023S S456767           TO SALE                     7690.03        0.00       64929.16
08/09/2023S S456786           TO SALE                     4760.24        0.00       69689.40
08/09/2023J J-CH              BY CH 908871 Q119              0.00    25432.00       44257.40
12/09/2023J J-CH              BY CH 908873 Q119              0.00    32224.00       12033.40
14/09/2023S S457560           TO SALE                    11869.36        0.00       23902.76
15/09/2023S S457687           TO SALE                    22850.33        0.00       46753.09
19/09/2023J J-CH              BY CH 908875 Q119              0.00    12450.00       34303.09
21/09/2023S S458439           TO SALE                     8162.43        0.00       42465.52
21/09/2023S S458463           TO SALE                     2220.68        0.00       44686.20
27/09/2023J J-CH              BY CH 908876 Q119              0.00    34719.00        9967.20
28/09/2023S S459422           TO SALE                    10509.31        0.00       20476.51
29/09/2023S S459511           TO SALE                     3393.21        0.00       23869.72
04/10/2023J J-CH              BY CH 908880 Q119              0.00    10383.00       13486.72
05/10/2023S S460453           TO SALE                    11092.30        0.00       24579.02
06/10/2023S S460507           TO SALE                    10363.11        0.00       34942.13
07/10/2023S O107966           TO SALE                    -1554.22        0.00       33387.91
10/10/2023J J-CH              BY CH 908882 Q119              0.00    13902.00       19485.91
12/10/2023S O108009           TO SALE                    -1783.04        0.00       17702.87
12/10/2023S S461498           TO SALE                    16748.58        0.00       34451.45
13/10/2023S S461598           TO SALE                     1590.22        0.00       36041.67
17/10/2023J J-CH              BY CH 908885 Q119              0.00    18118.00       17923.67
19/10/2023S S462600           TO SALE                     8159.31        0.00       26082.98
20/10/2023S S462636           TO SALE                    11015.78        0.00       37098.76
25/10/2023J J-CH              BY CH 908888 Q119              0.00    18338.00       18760.76
26/10/2023S S463384           TO SALE                    11964.19        0.00       30724.95
27/10/2023S S463521           TO SALE                    10838.17        0.00       41563.12
31/10/2023J J-CH              BY CH 908890 Q119              0.00    19175.00       22388.12
02/11/2023S S464256           TO SALE                     9921.95        0.00       32310.07
03/11/2023S S464349           TO SALE                    11431.72        0.00       43741.79
09/11/2023S S465234           TO SALE                     7420.95        0.00       51162.74
09/11/2023J J-CH              BY CH 908892 Q119              0.00    22802.00       28360.74
10/11/2023S S465341           TO SALE                    13489.00        0.00       41849.74
13/11/2023J J-CH              BY CH 908896 Q119              0.00    21353.00       20496.74
16/11/2023S S466204           TO SALE                     1572.04        0.00       22068.78
17/11/2023S S466279           TO SALE                    14866.70        0.00       36935.48
21/11/2023J J-CH              BY CH 908898 Q119              0.00    20910.00       16025.48
23/11/2023S S467049           TO SALE                    11855.69        0.00       27881.17
24/11/2023S S467152           TO SALE                     7474.46        0.00       35355.63
25/11/2023S O108554           TO SALE                     -104.50        0.00       35251.13

                         TOTAL                          663888.13   628637.00       35251.13


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
