

A/C SUMAN GENERAL STORE BHUTTI       In M/S RAM KISHAN JIVA RAM Page No. 1
 I111 VILL.   PO BHIUTI                           PAN            9816461280  BBG
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      11544.88
05/04/2023J J93049            BY ONLINE                      0.00     5000.00        6544.88
10/04/2023J J93095            BY ON LINE                     0.00     3500.00        3044.88
18/04/2023J J93195            BY ON LINE                     0.00     2500.00         544.88
19/04/2023S S438617           TO SALE                     4185.71        0.00        4730.59
20/04/2023S S438767           TO SALE                     2105.26        0.00        6835.85
25/04/2023J J93277            BY ON LINE                     0.00     3000.00        3835.85
02/05/2023J J93360            BY ON LINE                     0.00     2000.00        1835.85
10/05/2023S S441364           TO SALE                     8181.84        0.00       10017.69
11/05/2023S S441455           TO SALE                     2423.29        0.00       12440.98
30/05/2023J J93768            BY ON LINE                     0.00     7000.00        5440.98
02/06/2023C C                 RN41404                        0.00     1000.00        4440.98
05/06/2023J J93870            BY ON LINE                     0.00     4000.00         440.98
07/06/2023S S445165           TO SALE                     7448.82        0.00        7889.80
08/06/2023S S445206           TO SALE                      891.58        0.00        8781.38
13/06/2023J J93982            BY ON LINE                     0.00     8500.00         281.38
14/06/2023S S446154           TO SALE                     5312.74        0.00        5594.12
15/06/2023S S446257           TO SALE                     2780.82        0.00        8374.94
21/06/2023S S447158           TO SALE                     1039.70        0.00        9414.64
21/06/2023S S447204           TO SALE                     2836.58        0.00       12251.22
27/06/2023J J94183            BY ON LINE                     0.00     5000.00        7251.22
06/07/2023J J94322            BY ON LINE                     0.00     5000.00        2251.22
19/07/2023S S450457           TO SALE                     9737.64        0.00       11988.86
19/07/2023J J94481            BY ON LINE                     0.00     2000.00        9988.86
20/07/2023S S450581           TO SALE                     3626.65        0.00       13615.51
04/08/2023J J94698            BY ON LINE                     0.00     5000.00        8615.51
15/08/2023J J94847            BY ON LINE                     0.00     5000.00        3615.51
21/08/2023J J94927            BY ON LINE                     0.00     3600.00          15.51
23/08/2023S S454692           TO SALE                     2517.77        0.00        2533.28
23/08/2023S S454721           TO SALE                     1576.78        0.00        4110.06
30/08/2023J J95053            BY ONLINE                      0.00     4110.00           0.06
06/09/2023S S456550           TO SALE                     7585.46        0.00        7585.52
07/09/2023S S456629           TO SALE                     1323.16        0.00        8908.68
15/09/2023C C                 RN48919                        0.00     3000.00        5908.68
20/09/2023J J95356            BY ON LINE                     0.00     3000.00        2908.68
27/09/2023S S459301           TO SALE                     2642.95        0.00        5551.63
27/09/2023J J95446            BY ON LINE                     0.00     2000.00        3551.63
28/09/2023S S459404           TO SALE                     3206.05        0.00        6757.68
29/09/2023S O107861           TO SALE                     -980.78        0.00        5776.90
05/10/2023J J95588            BY ON LINE                     0.00     3000.00        2776.90
10/10/2023J J95669            BY ONLINE                      0.00     2000.00         776.90
11/10/2023S S461259           TO SALE                     5002.29        0.00        5779.19
12/10/2023S S461423           TO SALE                     1725.94        0.00        7505.13
12/10/2023J J95714            BY ON LINE                     0.00      800.00        6705.13
25/10/2023J J95912            BY ONLINE                      0.00     6500.00         205.13
01/11/2023S S464148           TO SALE                    14458.02        0.00       14663.15
01/11/2023J J96012            BY ON LINE                     0.00      205.00       14458.15
02/11/2023S S464195           TO SALE                     3146.76        0.00       17604.91
13/11/2023S O108396           TO SALE                    -4304.50        0.00       13300.41
16/11/2023J J96302            BY ON LINE                     0.00     7000.00        6300.41
21/11/2023J J96378            BY ON LINE                     0.00     5000.00        1300.41
22/11/2023S S466945           TO SALE                    11863.70        0.00       13164.11
22/11/2023C C1                RN55036                        0.00     1300.41       11863.70
23/11/2023S S466972           TO SALE                     6905.34        0.00       18769.04

                         TOTAL                          118784.45   100015.41       18769.04


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
