

A/C ADARSH GENREAL STORE NIRMAND      In M/S RAM KISHAN JIVA RAM Page No. 1
 J015 VILL.   PO NIRMAND                          PAN            9418579614  NGG
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F     122039.13
01/04/2023S L164580           TO SALE                     1346.16        0.00      123385.29
01/04/2023S L164581           TO SALE                     6581.12        0.00      129966.41
01/04/2023S L164614           TO SALE                     5219.50        0.00      135185.91
03/04/2023J J-CH              BY CH 077170 Q108              0.00    12000.00      123185.91
06/04/2023S S436929           TO SALE                     2528.89        0.00      125714.80
07/04/2023S S437022           TO SALE                     1215.87        0.00      126930.67
08/04/2023S L165315           TO SALE                     1339.00        0.00      128269.67
08/04/2023S L165316           TO SALE                    12558.93        0.00      140828.60
08/04/2023S L165327           TO SALE                     1503.04        0.00      142331.64
11/04/2023J J-CH              BY CH 881511 Q108              0.00    10000.00      132331.64
11/04/2023J J-CH              BY CH 751970 Q103              0.00     3745.00      128586.64
12/04/2023S O105939           TO SALE                    -4799.99        0.00      123786.65
13/04/2023S S437962           TO SALE                     1128.53        0.00      124915.18
14/04/2023S L165810           TO SALE                     6523.36        0.00      131438.54
14/04/2023S S438012           TO SALE                     2428.05        0.00      133866.59
15/04/2023C A404S             BY CASH S437962 ADARSH G       0.00     1128.53      132738.06
15/04/2023C A404S             BY CASH S438012 ADARSH G       0.00     2428.05      130310.01
17/04/2023J J-CH              BY CH 881512 Q108              0.00    10000.00      120310.01
20/04/2023S S438818           TO SALE                     2732.88        0.00      123042.89
21/04/2023S L166415           TO SALE                     2179.82        0.00      125222.71
21/04/2023S L166438           TO SALE                     3971.30        0.00      129194.01
21/04/2023S L166439           TO SALE                     6539.12        0.00      135733.13
21/04/2023S S438947           TO SALE                     4800.46        0.00      140533.59
21/04/2023J J-CH              BY CH 881514 Q108              0.00     7000.00      133533.59
22/04/2023C C                 RN37032                        0.00     5722.00      127811.59
24/04/2023S O106093           TO SALE                    -1811.26        0.00      126000.33
27/04/2023S S439784           TO SALE                     2818.44        0.00      128818.77
28/04/2023S L166844           TO SALE                     2608.00        0.00      131426.77
28/04/2023S L166845           TO SALE                    10672.62        0.00      142099.39
28/04/2023S S439890           TO SALE                      690.60        0.00      142789.99
29/04/2023C A404S             BY CASH S439784 ADARSH G       0.00     2818.44      139971.55
29/04/2023C A404S             BY CASH S439890 ADARSH G       0.00      690.60      139280.95
01/05/2023J J-CH              BY CH 881518 Q108              0.00     9000.00      130280.95
04/05/2023S S440693           TO SALE                     4001.94        0.00      134282.89
05/05/2023S L167352           TO SALE                     1486.80        0.00      135769.69
05/05/2023S L167382           TO SALE                     2544.00        0.00      138313.69
05/05/2023S L167383           TO SALE                     7359.30        0.00      145672.99
06/05/2023C A404S             BY CASH S440693 ADARSH G       0.00     4001.94      141671.05
06/05/2023J J-CH              BY CH 881519 Q108              0.00    10000.00      131671.05
11/05/2023S S441613           TO SALE                     3801.19        0.00      135472.24
12/05/2023S L167808           TO SALE                     1299.00        0.00      136771.24
12/05/2023S L167809           TO SALE                     8838.08        0.00      145609.32
12/05/2023S L167819           TO SALE                     1909.40        0.00      147518.72
12/05/2023J J-CH              BY CH 881520 Q108              0.00    15000.00      132518.72
13/05/2023C A404S             BY CASH S441613 ADARSH G       0.00     3801.19      128717.53
15/05/2023J J-CH              BY CH 881521 Q108              0.00    12000.00      116717.53
20/05/2023S L168437           TO SALE                     6323.86        0.00      123041.39
20/05/2023S L168438           TO SALE                     3836.30        0.00      126877.69
25/05/2023S S443472           TO SALE                     1417.66        0.00      128295.35
26/05/2023S S443559           TO SALE                     3729.24        0.00      132024.59
27/05/2023S L168926           TO SALE                     9589.76        0.00      141614.35
27/05/2023S L168927           TO SALE                     2334.50        0.00      143948.85
27/05/2023C C                 RN40902                        0.00     3550.00      140398.85
29/05/2023J J-CH              BY CH 881522 Q108              0.00     8000.00      132398.85
29/05/2023J J-CH              BY CH 881524 Q108              0.00     1600.00      130798.85
01/06/2023S S444332           TO SALE                     1575.06        0.00      132373.91
02/06/2023S L169423           TO SALE                     2318.40        0.00      134692.31
02/06/2023S L169424           TO SALE                     9548.00        0.00      144240.31
03/06/2023C A404S             BY CASH S444332 ADARSH G       0.00     1575.06      142665.25
03/06/2023J J-CH              BY CH 881523 Q108              0.00    10000.00      132665.25
08/06/2023S S445271           TO SALE                     2820.66        0.00      135485.91
09/06/2023S L169934           TO SALE                     2854.78        0.00      138340.69
09/06/2023S L169945           TO SALE                     3826.14        0.00      142166.83
10/06/2023C C                 RN42102                        0.00     1220.00      140946.83
12/06/2023J J-CH              BY CH 881525 Q108              0.00    10000.00      130946.83
12/06/2023J J-CH              BY CH 000057 Q103              0.00     3000.00      127946.83
12/06/2023J J-CH              BY CH 881527 Q108              0.00     1600.00      126346.83
16/06/2023S L170490           TO SALE                     7171.06        0.00      133517.89
17/06/2023S L170528           TO SALE                     2668.00        0.00      136185.89
17/06/2023S L170529           TO SALE                     6575.21        0.00      142761.10
20/06/2023J J-CH              BY CH 881526 Q108              0.00    10000.00      132761.10
22/06/2023S S447338           TO SALE                     1544.88        0.00      134305.98
23/06/2023S L170998           TO SALE                     2638.96        0.00      136944.94
24/06/2023C A404S             BY CASH S447338 ADARSH G       0.00     1544.88      135400.06
26/06/2023J J-CH              BY CH 881529 Q108              0.00    10000.00      125400.06
29/06/2023S S448231           TO SALE                     2815.61        0.00      128215.67
29/06/2023S S448275           TO SALE                     1052.08        0.00      129267.75
30/06/2023S L171495           TO SALE                     1364.00        0.00      130631.75
30/06/2023S L171496           TO SALE                     5534.00        0.00      136165.75
30/06/2023J J-CH              BY CH 881530 Q108              0.00    10000.00      126165.75
01/07/2023C C                 RN43701                        0.00     2900.00      123265.75
06/07/2023S S449221           TO SALE                      875.46        0.00      124141.21
07/07/2023S L172051           TO SALE                     3910.95        0.00      128052.16
07/07/2023S L172052           TO SALE                     8655.60        0.00      136707.76
07/07/2023S S449294           TO SALE                     1112.80        0.00      137820.56
08/07/2023C A404S             BY CASH S449294 ADARSH G       0.00     1112.80      136707.76
10/07/2023J J-CH              BY CH 882475 Q108              0.00      875.00      135832.76
13/07/2023S S449868           TO SALE                      698.26        0.00      136531.02
14/07/2023S L172354           TO SALE                     1683.54        0.00      138214.56
14/07/2023J J-CH              BY CH 882471 Q108              0.00    10000.00      128214.56
14/07/2023J J-CH              BY CH 882474 Q108              0.00    10000.00      118214.56
15/07/2023C A404S             BY CASH S449868 ADARSH G       0.00      698.26      117516.30
21/07/2023J J-CH              BY CH 882476 Q108              0.00    10000.00      107516.30
22/07/2023S L172849           TO SALE                     4593.08        0.00      112109.38
28/07/2023S S451553           TO SALE                     2266.96        0.00      114376.34
29/07/2023C A404S             BY CASH S451553 ADARSH G       0.00     2266.96      112109.38
31/07/2023S L173336           TO SALE                     1364.00        0.00      113473.38
31/07/2023S L173337           TO SALE                     5675.76        0.00      119149.14
31/07/2023J J-CH              BY CH 882478 Q108              0.00     8000.00      111149.14
07/08/2023J J-CH              BY CH 882479 Q108              0.00    10000.00      101149.14
11/08/2023S L174179           TO SALE                     6344.86        0.00      107494.00
17/08/2023S S453939           TO SALE                      589.10        0.00      108083.10
18/08/2023S L174676           TO SALE                     4098.20        0.00      112181.30
18/08/2023S L174677           TO SALE                     8723.42        0.00      120904.72
18/08/2023J J-CH              BY CH 882480 Q108              0.00     8000.00      112904.72
19/08/2023C A404S             BY CASH S453939 ADARSH G       0.00      589.10      112315.62
24/08/2023S S454830           TO SALE                      832.18        0.00      113147.80
25/08/2023S L175122           TO SALE                      159.00        0.00      113306.80
25/08/2023S L175123           TO SALE                    11992.67        0.00      125299.47
26/08/2023S L175255           TO SALE                     1371.00        0.00      126670.47
26/08/2023S L175256           TO SALE                    13609.16        0.00      140279.63
26/08/2023C A404S             BY CASH S454830 ADARSH G       0.00      832.18      139447.45
28/08/2023S E191857           TO SALE                     4684.60        0.00      144132.05
31/08/2023S S455797           TO SALE                     4087.34        0.00      148219.39
31/08/2023J J-CH              BY CH 882481 Q108              0.00    10000.00      138219.39
01/09/2023S S455843           TO SALE                     3301.95        0.00      141521.34
02/09/2023S L175649           TO SALE                     3291.74        0.00      144813.08
02/09/2023S L175688           TO SALE                     1374.00        0.00      146187.08
02/09/2023S L175689           TO SALE                     4969.14        0.00      151156.22
02/09/2023C C                 RN 46886                       0.00     4000.00      147156.22
02/09/2023J J-CH              BY CH 882484 Q108              0.00     3600.00      143556.22
04/09/2023J J-CH              BY CH 882482 Q108              0.00    10000.00      133556.22
07/09/2023S S456707           TO SALE                     2034.05        0.00      135590.27
08/09/2023S L176156           TO SALE                     1614.00        0.00      137204.27
08/09/2023S L176157           TO SALE                     7907.32        0.00      145111.59
08/09/2023S S456830           TO SALE                     1659.88        0.00      146771.47
11/09/2023J J-CH              BY CH 882483 Q108              0.00    20000.00      126771.47
15/09/2023S L176565           TO SALE                     1374.00        0.00      128145.47
15/09/2023S L176566           TO SALE                     6433.60        0.00      134579.07
15/09/2023J J-CH              BY CH 882485 Q108              0.00    12000.00      122579.07
18/09/2023J J-CH              BY CH 882486 Q108              0.00     3700.00      118879.07
23/09/2023S L177151           TO SALE                     4178.10        0.00      123057.17
23/09/2023S L177152           TO SALE                     3899.30        0.00      126956.47
26/09/2023J J-CH              BY CH 882487 Q108              0.00     8000.00      118956.47
28/09/2023S S459438           TO SALE                     1017.62        0.00      119974.09
28/09/2023C C1                RN49943                        0.00     5000.00      114974.09
29/09/2023S S459529           TO SALE                      969.16        0.00      115943.25
30/09/2023S L177721           TO SALE                     1373.80        0.00      117317.05
30/09/2023S L177722           TO SALE                     6352.74        0.00      123669.79
02/10/2023C A404S             BY CASH S459438 ADARSH G       0.00     1017.62      122652.17
02/10/2023C A404S             BY CASH S459529 ADARSH G       0.00      969.16      121683.01
05/10/2023S S460466           TO SALE                     1520.70        0.00      123203.71
05/10/2023J J-CH              BY CH 882488 Q108              0.00     5000.00      118203.71
06/10/2023S L178142           TO SALE                     2748.00        0.00      120951.71
06/10/2023S L178143           TO SALE                    15147.82        0.00      136099.53
06/10/2023S L178165           TO SALE                      218.71        0.00      136318.24
06/10/2023S L178166           TO SALE                     4809.28        0.00      141127.52
07/10/2023C A404S             BY CASH S460466 ADARSH G       0.00     1520.70      139606.82
12/10/2023S S461541           TO SALE                    24997.82        0.00      164604.64
17/10/2023J J-CH              BY CH 882489 Q108              0.00    10000.00      154604.64
18/10/2023J J-CH              BY CH 883552 Q108              0.00    25000.00      129604.64
20/10/2023S L179174           TO SALE                     2557.10        0.00      132161.74
20/10/2023S L179175           TO SALE                     6443.04        0.00      138604.78
20/10/2023S L179183           TO SALE                      277.05        0.00      138881.83
21/10/2023J J-CH              BY CH 882490 Q108              0.00     8000.00      130881.83
28/10/2023S L179792           TO SALE                     1552.00        0.00      132433.83
28/10/2023S L179793           TO SALE                     4827.76        0.00      137261.59
02/11/2023S S464270           TO SALE                      276.26        0.00      137537.85
02/11/2023S S464311           TO SALE                     1834.65        0.00      139372.50
04/11/2023S L180250           TO SALE                     9288.10        0.00      148660.60
04/11/2023S L180251           TO SALE                    24932.20        0.00      173592.80
04/11/2023C C                 RN52688                        0.00     2111.00      171481.80
07/11/2023J J-CH              BY CH 883554 Q108              0.00    10000.00      161481.80
07/11/2023J J-CH              BY CH 883555 Q108              0.00    30000.00      131481.80
09/11/2023S S465277           TO SALE                      885.76        0.00      132367.56
10/11/2023S S465379           TO SALE                     2651.89        0.00      135019.45
11/11/2023S L180928           TO SALE                     1549.00        0.00      136568.45
11/11/2023C A404S             BY CASH S465277 ADARSH G       0.00      885.76      135682.69
11/11/2023C A404S             BY CASH S465379 ADARSH G       0.00     2651.89      133030.80
14/11/2023J J96247            BY ON LINE                     0.00    20000.00      113030.80
16/11/2023J J96301            BY CH 883551                   0.00     8000.00      105030.80
17/11/2023S L181375           TO SALE                     3309.00        0.00      108339.80
17/11/2023S L181376           TO SALE                     2439.92        0.00      110779.72
20/11/2023J J96359            BY CASH ON LINE                0.00     7000.00      103779.72
23/11/2023S S467065           TO SALE                     6193.42        0.00      109973.14
24/11/2023S S467188           TO SALE                     6158.05        0.00      116131.19
25/11/2023S L181998           TO SALE                     2439.92        0.00      118571.11

                         TOTAL                          573727.23   455156.12      118571.11


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
