

A/C TWINKAL ENTERPRISES ARSU         In M/S RAM KISHAN JIVA RAM Page No. 1
 K038 VILL  PO ARSU VIA NIRMAND                   PAN            9816410225  WGG
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      29248.22
06/04/2023J J-CH              BY CH 010568 Q119              0.00    29248.00           0.22
02/06/2023S S444481           TO SALE                     7758.34        0.00        7758.56
02/06/2023S S444536           TO SALE                     2323.78        0.00       10082.34
09/06/2023S S445427           TO SALE                     6770.93        0.00       16853.27
10/06/2023S S445550           TO SALE                     1417.82        0.00       18271.09
13/06/2023J J-CH              BY CH 010569 Q119              0.00    10082.00        8189.09
16/06/2023S S446479           TO SALE                     4208.64        0.00       12397.73
17/06/2023S S446550           TO SALE                     4405.63        0.00       16803.36
19/06/2023J J-CH              BY CH 010570 Q119              0.00     8189.00        8614.36
23/06/2023S S447463           TO SALE                     1213.30        0.00        9827.66
23/06/2023J J-CH              BY CH 010571 Q119              0.00     8615.00        1212.66
24/06/2023S S447592           TO SALE                    19533.83        0.00       20746.49
30/06/2023S S448409           TO SALE                     7525.50        0.00       28271.99
01/07/2023S S448504           TO SALE                     7407.58        0.00       35679.57
04/07/2023J J-CH              BY CH 010572 Q119              0.00    20747.00       14932.57
07/07/2023S S449367           TO SALE                     5338.92        0.00       20271.49
07/07/2023S S449411           TO SALE                     4221.05        0.00       24492.54
12/07/2023J J-CH              BY CH 010573 Q119              0.00    14933.00        9559.54
15/07/2023S S450090           TO SALE                    29353.70        0.00       38913.24
17/07/2023J J-CH              BY CH 010575 Q119              0.00     9560.00       29353.24
21/07/2023S S450768           TO SALE                     5870.66        0.00       35223.90
22/07/2023S S450837           TO SALE                     9546.60        0.00       44770.50
25/07/2023J J-CH              BY CH 010576 Q119              0.00    29353.00       15417.50
28/07/2023S S451638           TO SALE                     8301.66        0.00       23719.16
29/07/2023S S451708           TO SALE                     5274.45        0.00       28993.61
31/07/2023J J-CH              BY CH 010577 Q119              0.00    15417.00       13576.61
04/08/2023S S452428           TO SALE                     9660.07        0.00       23236.68
05/08/2023S S452493           TO SALE                    20663.75        0.00       43900.43
05/08/2023J J-CH              BY CH 010578 Q119              0.00    13576.00       30324.43
11/08/2023S S453273           TO SALE                    10900.99        0.00       41225.42
11/08/2023J J-CH              BY CH 010580 Q119              0.00    30324.00       10901.42
12/08/2023S S453400           TO SALE                    15183.46        0.00       26084.88
18/08/2023S S454107           TO SALE                    12210.59        0.00       38295.47
18/08/2023S S454139           TO SALE                     2809.80        0.00       41105.27
21/08/2023J J-CH              BY CH 171861 Q119              0.00    26084.00       15021.27
25/08/2023S S455044           TO SALE                     9641.09        0.00       24662.36
25/08/2023J J-CH              BY CH 171864 Q119              0.00    15020.00        9642.36
26/08/2023S S455108           TO SALE                    24139.60        0.00       33781.96
01/09/2023S S455949           TO SALE                     7366.02        0.00       41147.98
02/09/2023S S456019           TO SALE                    10169.69        0.00       51317.67
04/09/2023J J-CH              BY CH 171865 Q119              0.00    33780.00       17537.67
08/09/2023S S456918           TO SALE                      973.30        0.00       18510.97
09/09/2023S S456989           TO SALE                    28790.38        0.00       47301.35
12/09/2023J J-CH              BY CH 171868 Q119              0.00    17535.00       29766.35
15/09/2023S S457740           TO SALE                     2470.10        0.00       32236.45
15/09/2023S S457766           TO SALE                     6351.96        0.00       38588.41
22/09/2023S S458621           TO SALE                     7621.26        0.00       46209.67
22/09/2023J J-CH              BY CH 171869 Q119              0.00    29763.00       16446.67
23/09/2023S S458767           TO SALE                     1883.20        0.00       18329.87
27/09/2023S O107841           TO SALE                     -519.25        0.00       17810.62
27/09/2023J J-CH              BY CH 171870 Q119              0.00     8822.00        8988.62
30/09/2023J J-CH              BY CH 012423 Q119              0.00     9524.00        -535.38
06/10/2023S S460626           TO SALE                     3757.38        0.00        3222.00
07/10/2023S S460726           TO SALE                     8868.09        0.00       12090.09
17/10/2023J J-CH              BY CH 012426 Q119              0.00    12625.00        -534.91
20/10/2023S S462741           TO SALE                    10139.95        0.00        9605.04
21/10/2023S S462804           TO SALE                    19035.66        0.00       28640.70
31/10/2023J J-CH              BY CH 012428 Q119              0.00    29175.00        -534.30
03/11/2023S S464393           TO SALE                     4466.85        0.00        3932.55
04/11/2023S S464502           TO SALE                     4798.67        0.00        8731.22
08/11/2023S E192369           TO SALE                    41176.87        0.00       49908.09
08/11/2023S E192370           TO SALE                     4809.28        0.00       54717.37
13/11/2023J J-CH              BY CH 012431 Q119              0.00     8730.00       45987.37
17/11/2023S S466392           TO SALE                     3425.09        0.00       49412.46
18/11/2023S S466465           TO SALE                     6080.87        0.00       55493.33
25/11/2023S O108548           TO SALE                     -945.00        0.00       54548.33

                         TOTAL                          435650.33   381102.00       54548.33


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
