

A/C LAMA DHABA BAGIPUL      In M/S RAM KISHAN JIVA RAM Page No. 1
 K134 VPO BAGIPUL TEH  NIRMAND                    PAN            8894199533  N1H
      AADHAR 628644222045 GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F          0.00
13/04/2023S L165631           TO SALE                     3366.36        0.00        3366.36
14/04/2023S L165656           TO SALE                     2677.60        0.00        6043.96
14/04/2023S L165657           TO SALE                     4675.98        0.00       10719.94
18/04/2023C C2                RN37640                        0.00    10720.00          -0.06
21/04/2023S L166287           TO SALE                     5438.86        0.00        5438.80
21/04/2023S L166321           TO SALE                     1549.00        0.00        6987.80
21/04/2023S L166322           TO SALE                     3755.74        0.00       10743.54
25/04/2023C C1                RN37958                        0.00    10744.00          -0.46
27/04/2023S L166783           TO SALE                     4540.50        0.00        4540.04
27/04/2023S L166784           TO SALE                     2142.18        0.00        6682.22
27/04/2023S L166804           TO SALE                      844.42        0.00        7526.64
02/05/2023C C1                RN38069                        0.00     7530.00          -3.36
04/05/2023S L167240           TO SALE                     2111.17        0.00        2107.81
05/05/2023S L167246           TO SALE                      919.00        0.00        3026.81
05/05/2023S L167247           TO SALE                     4546.64        0.00        7573.45
09/05/2023C C1                RN37589                        0.00     7600.00         -26.55
11/05/2023S L167706           TO SALE                     1298.80        0.00        1272.25
11/05/2023S L167707           TO SALE                     4177.00        0.00        5449.25
17/05/2023C C1                RN39050                        0.00     5449.00           0.25
18/05/2023S L168224           TO SALE                     1289.00        0.00        1289.25
18/05/2023S L168260           TO SALE                     3051.32        0.00        4340.57
23/05/2023C C1                RN39875                        0.00     4341.00          -0.43
25/05/2023S L168701           TO SALE                     2390.62        0.00        2390.19
26/05/2023S L168794           TO SALE                     3510.00        0.00        5900.19
30/05/2023C C2                RN40659                        0.00     5900.00           0.19
01/06/2023S L169290           TO SALE                     4570.50        0.00        4570.69
01/06/2023S L169315           TO SALE                     1636.22        0.00        6206.91
06/06/2023C C1                RN40951                        0.00     6210.00          -3.09
07/06/2023S L169683           TO SALE                     2059.10        0.00        2056.01
07/06/2023S L169688           TO SALE                     2306.00        0.00        4362.01
07/06/2023S L169689           TO SALE                     2997.32        0.00        7359.33
13/06/2023C C2                RN41394                        0.00     7360.00          -0.67
14/06/2023S L170245           TO SALE                     1978.86        0.00        1978.19
14/06/2023S L170250           TO SALE                     1990.00        0.00        3968.19
14/06/2023S L170251           TO SALE                      751.66        0.00        4719.85
20/06/2023C C2                RN42851                        0.00     4720.00          -0.15
21/06/2023S L170726           TO SALE                     2915.40        0.00        2915.25
21/06/2023S L170730           TO SALE                     1333.80        0.00        4249.05
21/06/2023S L170731           TO SALE                     1083.78        0.00        5332.83
27/06/2023C C1                RN42580                        0.00     5333.00          -0.17
29/06/2023S L171414           TO SALE                     1926.54        0.00        1926.37
29/06/2023S L171415           TO SALE                     4401.00        0.00        6327.37
29/06/2023S L171442           TO SALE                     1925.56        0.00        8252.93
04/07/2023C C1                RN43737                        0.00     8253.00          -0.07
06/07/2023S L171844           TO SALE                     1364.00        0.00        1363.93
06/07/2023S L171845           TO SALE                     3370.74        0.00        4734.67
06/07/2023S L171874           TO SALE                      531.00        0.00        5265.67
18/07/2023C C                 RN43851                        0.00     5266.00          -0.33
22/07/2023S L172864           TO SALE                      547.04        0.00         546.71
