

A/C VIJAY BROS BOOK SELLERS RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 M016 VILL.   PO RAMPUR BUSHAHR                   PANABKPR2123C  9218533179  LBG
      AADHAR          0   GSTIN 02ABKPR2123C1ZA
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F          0.00
05/04/2023S P230193           TO SALE                     5268.48        0.00        5268.48
05/04/2023S P230195           TO SALE                    39513.60        0.00       44782.08
06/04/2023S P230201           TO SALE                     1762.20        0.00       46544.28
06/04/2023S P230207           TO SALE                     6650.46        0.00       53194.74
08/04/2023S P230224           TO SALE                     7902.72        0.00       61097.46
08/04/2023S P230225           TO SALE                     5268.48        0.00       66365.94
12/04/2023S P230266           TO SALE                    13654.78        0.00       80020.72
13/04/2023S P230270           TO SALE                     9757.12        0.00       89777.84
13/04/2023J J-CH              BY CH 287304 Q101              0.00    66365.00       23412.84
21/04/2023S P230339           TO SALE                    10984.78        0.00       34397.62
22/04/2023S P230348           TO SALE                      940.85        0.00       35338.47
29/04/2023S P230399           TO SALE                     8176.12        0.00       43514.59
02/05/2023S P230412           TO SALE                    16115.50        0.00       59630.09
03/05/2023J J-CH              BY CH 295505 Q101              0.00    42573.00       17057.09
04/05/2023S P230422           TO SALE                     5745.60        0.00       22802.69
11/05/2023S B544774           TO SALE                     2184.88        0.00       24987.57
17/05/2023S P230496           TO SALE                    41637.38        0.00       66624.95
20/05/2023S N306692           TO SALE                     9221.16        0.00       75846.11
22/05/2023S C627994           TO SALE                      508.87        0.00       76354.98
24/05/2023S P230535           TO SALE                    11632.24        0.00       87987.22
01/06/2023J J-CH              BY CH 019123 Q106              0.00    87046.00         941.22
05/06/2023S P230609           TO SALE                      499.84        0.00        1441.06
05/06/2023S P230610           TO SALE                     1685.98        0.00        3127.04
06/06/2023S P230623           TO SALE                    17991.66        0.00       21118.70
06/06/2023C C1                RN41901                        0.00      941.22       20177.48
10/06/2023S P230665           TO SALE                     5763.00        0.00       25940.48
13/06/2023S P230676           TO SALE                     3841.52        0.00       29782.00
21/06/2023S P230719           TO SALE                    29674.32        0.00       59456.32
24/06/2023S E191441           TO SALE                     3149.02        0.00       62605.34
26/06/2023S E191448           TO SALE                     3420.06        0.00       66025.40
28/06/2023S P230752           TO SALE                    20778.79        0.00       86804.19
29/06/2023S E191474           TO SALE                     1176.22        0.00       87980.41
29/06/2023S P230759           TO SALE                     2184.88        0.00       90165.29
03/07/2023J J-CH              BY CH 019130 Q106              0.00    70166.00       19999.29
04/07/2023S E191509           TO SALE                     7805.70        0.00       27804.99
