

A/C NEGIES BROTHER RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 M048 VILL.   PO RAMPUR BUSHAHR                   PAN            9418120935  LBG
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      73048.90
04/04/2023C C1                RN36034                        0.00     5000.00       68048.90
06/04/2023C C1                RN36906                        0.00     8000.00       60048.90
10/04/2023S B543359           TO SALE                     1865.00        0.00       61913.90
17/04/2023C C2                RN37248                        0.00     5000.00       56913.90
19/04/2023C C1                RN37269                        0.00     3000.00       53913.90
01/05/2023C C1                RN38908                        0.00     5000.00       48913.90
03/05/2023C C                 RN38296                        0.00     8000.00       40913.90
06/05/2023S B544514           TO SALE                     5481.20        0.00       46395.10
06/05/2023C C1                RN38842                        0.00     1000.00       45395.10
08/05/2023S B544585           TO SALE                     1260.00        0.00       46655.10
08/05/2023S B544602           TO SALE                     5143.42        0.00       51798.52
08/05/2023C C1                RN39401                        0.00     6000.00       45798.52
09/05/2023C C2                RN39342                        0.00     3000.00       42798.52
10/05/2023S B544715           TO SALE                     3036.70        0.00       45835.22
17/05/2023J J93573            BY ON LINE                     0.00   200000.00     -154164.78
22/05/2023S B545223           TO SALE                    15799.28        0.00     -138365.50
22/05/2023S L168463           TO SALE                    13250.00        0.00     -125115.50
23/05/2023S B545257           TO SALE                     7376.10        0.00     -117739.40
23/05/2023S B545294           TO SALE                     5381.26        0.00     -112358.14
23/05/2023S C628021           TO SALE                    19767.19        0.00      -92590.95
24/05/2023S B545324           TO SALE                    21308.45        0.00      -71282.50
24/05/2023S B545333           TO SALE                    12043.76        0.00      -59238.74
24/05/2023S B545340           TO SALE                     1680.00        0.00      -57558.74
24/05/2023S G286641           TO SALE                     2282.65        0.00      -55276.09
24/05/2023S G286657           TO SALE                     3571.73        0.00      -51704.36
24/05/2023S G286658           TO SALE                     4052.26        0.00      -47652.10
25/05/2023S C628040           TO SALE                     4538.02        0.00      -43114.08
26/05/2023S G286679           TO SALE                      395.88        0.00      -42718.20
27/05/2023S B545464           TO SALE                     9592.68        0.00      -33125.52
27/05/2023S B545466           TO SALE                     5449.60        0.00      -27675.92
27/05/2023S C628112           TO SALE                     2966.43        0.00      -24709.49
27/05/2023S G286703           TO SALE                     3891.92        0.00      -20817.57
30/05/2023S B545540           TO SALE                    11336.30        0.00       -9481.27
30/05/2023S G286734           TO SALE                     1086.70        0.00       -8394.57
31/05/2023S B545590           TO SALE                     4301.59        0.00       -4092.98
31/05/2023S B545602           TO SALE                     1644.24        0.00       -2448.74
31/05/2023S G286762           TO SALE                      537.48        0.00       -1911.26
02/06/2023S B545670           TO SALE                      448.22        0.00       -1463.04
05/06/2023S B545775           TO SALE                     1428.00        0.00         -35.04
05/06/2023S B545787           TO SALE                     6031.10        0.00        5996.06
08/06/2023S B545946           TO SALE                     1188.15        0.00        7184.21
09/06/2023S B546005           TO SALE                     4795.02        0.00       11979.23
10/06/2023S B546044           TO SALE                     2286.82        0.00       14266.05
10/06/2023S B546053           TO SALE                     1070.16        0.00       15336.21
13/06/2023S B546154           TO SALE                     9347.34        0.00       24683.55
17/06/2023S B546342           TO SALE                     2840.82        0.00       27524.37
17/06/2023S B546366           TO SALE                     1458.89        0.00       28983.26
17/06/2023S C628570           TO SALE                     3917.34        0.00       32900.60
19/06/2023S B546400           TO SALE                      229.60        0.00       33130.20
19/06/2023S B546420           TO SALE                     2586.16        0.00       35716.36
22/06/2023S B546565           TO SALE                     2225.16        0.00       37941.52
23/06/2023S B546616           TO SALE                     5587.20        0.00       43528.72
26/06/2023S B546693           TO SALE                     1022.65        0.00       44551.37
28/06/2023S G287225           TO SALE                     3907.35        0.00       48458.72
29/06/2023S C628762           TO SALE                     2852.56        0.00       51311.28
04/07/2023S B547032           TO SALE                     5648.76        0.00       56960.04
06/07/2023S B547145           TO SALE                     3449.26        0.00       60409.30
08/07/2023S B547229           TO SALE                     2491.90        0.00       62901.20
12/07/2023J J-CH              BY CH 302776 Q101              0.00    50000.00       12901.20
13/07/2023S B547376           TO SALE                     2675.40        0.00       15576.60
14/07/2023S B547389           TO SALE                     8813.77        0.00       24390.37
14/07/2023S B547411           TO SALE                     7340.41        0.00       31730.78
17/07/2023S B547512           TO SALE                     6920.04        0.00       38650.82
18/07/2023S B547575           TO SALE                     2771.82        0.00       41422.64
18/07/2023S C629066           TO SALE                     2984.41        0.00       44407.05
19/07/2023S B547613           TO SALE                     4131.00        0.00       48538.05
19/07/2023S B547619           TO SALE                     1575.00        0.00       50113.05
21/07/2023S G287550           TO SALE                     1146.36        0.00       51259.41
22/07/2023S B547712           TO SALE                     1925.00        0.00       53184.41
24/07/2023S B547762           TO SALE                     4592.66        0.00       57777.07
24/07/2023S G287589           TO SALE                      936.89        0.00       58713.96
26/07/2023S B547852           TO SALE                     1831.44        0.00       60545.40
26/07/2023S B547870           TO SALE                     5816.84        0.00       66362.24
26/07/2023S G287619           TO SALE                     1379.16        0.00       67741.40
28/07/2023S G287660           TO SALE                     1769.01        0.00       69510.41
05/08/2023S B548226           TO SALE                     2202.38        0.00       71712.79
07/08/2023S B548274           TO SALE                     6623.90        0.00       78336.69
07/08/2023J J-CH              BY CH 302777 Q101              0.00    50000.00       28336.69
09/08/2023S B548382           TO SALE                      271.40        0.00       28608.09
09/08/2023S B548401           TO SALE                     4644.54        0.00       33252.63
09/08/2023S B548429           TO SALE                     1551.58        0.00       34804.21
12/08/2023S B548558           TO SALE                     1082.51        0.00       35886.72
14/08/2023S B548597           TO SALE                    11776.76        0.00       47663.48
16/08/2023S B548692           TO SALE                     8318.68        0.00       55982.16
17/08/2023S G287896           TO SALE                     1046.44        0.00       57028.60
18/08/2023S B548794           TO SALE                     4189.59        0.00       61218.19
19/08/2023S C629615           TO SALE                     3907.05        0.00       65125.24
19/08/2023S C629625           TO SALE                    11598.74        0.00       76723.98
22/08/2023S B548925           TO SALE                     3288.85        0.00       80012.83
22/08/2023S B548937           TO SALE                     3611.00        0.00       83623.83
22/08/2023S P231046           TO SALE                     1645.52        0.00       85269.35
05/09/2023J J-CH              BY CH 302778 Q101              0.00    50000.00       35269.35
06/09/2023S B549597           TO SALE                     3797.94        0.00       39067.29
06/09/2023S B549606           TO SALE                     8324.42        0.00       47391.71
07/09/2023S C629980           TO SALE                     3899.91        0.00       51291.62
12/09/2023S B549902           TO SALE                    14932.55        0.00       66224.17
12/09/2023S G288206           TO SALE                     4356.18        0.00       70580.35
13/09/2023S G288225           TO SALE                     2879.16        0.00       73459.51
13/09/2023S L176309           TO SALE                     5092.20        0.00       78551.71
16/09/2023S B550105           TO SALE                     8691.69        0.00       87243.40
16/09/2023S B550114           TO SALE                     9743.20        0.00       96986.60
20/09/2023S G288333           TO SALE                      298.16        0.00       97284.76
22/09/2023J J-CH              BY CH 302779 Q101              0.00    30000.00       67284.76
23/09/2023S B550400           TO SALE                     6743.32        0.00       74028.08
09/10/2023J J-CH              BY CH 302781 Q101              0.00    20000.00       54028.08
10/10/2023S B551153           TO SALE                     2584.20        0.00       56612.28
12/10/2023S B551267           TO SALE                     4494.68        0.00       61106.96
13/10/2023S B551310           TO SALE                     7784.64        0.00       68891.60
18/10/2023S B551483           TO SALE                     2911.24        0.00       71802.84
18/10/2023S B551496           TO SALE                     3120.80        0.00       74923.64
18/10/2023J J-CH              BY CH 302780 Q101              0.00    20000.00       54923.64
24/10/2023S B551745           TO SALE                     9276.24        0.00       64199.88
25/10/2023S B551783           TO SALE                     2266.34        0.00       66466.22
08/11/2023J J-CH              BY CH 302782 Q101              0.00    30000.00       36466.22
10/11/2023S B552528           TO SALE                     2724.60        0.00       39190.82
11/11/2023S B552584           TO SALE                    15045.22        0.00       54236.04
11/11/2023S B552586           TO SALE                     3924.20        0.00       58160.24
14/11/2023S B552704           TO SALE                     4764.74        0.00       62924.98
14/11/2023S B552715           TO SALE                     9702.22        0.00       72627.20

                         TOTAL                          566627.20   494000.00       72627.20


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
