

A/C SUSHIL CONFECTIONERY RAMPUR BR.   In M/S RAM KISHAN JIVA RAM Page No. 1
 M075 VILL.   PO RAMPUR BUSHAHR                   PANADRPK9104H  9816347010  Q7G
      AADHAR          0   GSTIN 02ADRPK9104H1ZL
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F       7348.30
01/04/2023S N299880           TO SALE                     6754.08        0.00       14102.38
01/04/2023S N299884           TO SALE                     4406.76        0.00       18509.14
04/04/2023J J-CH              BY CH 388652 Q103              0.00     7345.00       11164.14
07/04/2023S N300908           TO SALE                     3746.33        0.00       14910.47
08/04/2023S N300940           TO SALE                     5271.06        0.00       20181.53
11/04/2023J J-CH              BY CH 388653 Q103              0.00    11161.00        9020.53
14/04/2023S N301930           TO SALE                     4429.72        0.00       13450.25
15/04/2023S N301936           TO SALE                     3422.81        0.00       16873.06
18/04/2023J J-CH              BY CH 388654 Q103              0.00     9017.00        7856.06
21/04/2023S N302788           TO SALE                     2734.40        0.00       10590.46
22/04/2023S N302890           TO SALE                     9151.61        0.00       19742.07
25/04/2023J J-CH              BY CH 388655 Q103              0.00     7852.00       11890.07
28/04/2023S N303838           TO SALE                     8273.87        0.00       20163.94
29/04/2023S N303876           TO SALE                     5246.06        0.00       25410.00
29/04/2023J J-CH              BY CH 388656 Q103              0.00    11886.00       13524.00
05/05/2023S N304778           TO SALE                     1990.42        0.00       15514.42
06/05/2023S N304813           TO SALE                     1903.74        0.00       17418.16
08/05/2023J J-CH              BY CH 388657 Q103              0.00    13520.00        3898.16
12/05/2023S N305658           TO SALE                    13809.46        0.00       17707.62
12/05/2023S N305696           TO SALE                     5865.49        0.00       23573.11
16/05/2023J J-CH              BY CH 388658 Q103              0.00     3894.00       19679.11
19/05/2023S N306659           TO SALE                     3655.09        0.00       23334.20
20/05/2023S N306695           TO SALE                     1969.50        0.00       25303.70
25/05/2023J J-CH              BY CH 388659 Q103              0.00    19675.00        5628.70
26/05/2023S N307568           TO SALE                     6711.30        0.00       12340.00
27/05/2023S N307607           TO SALE                      703.10        0.00       13043.10
30/05/2023J J-CH              BY CH 388660 Q103              0.00     5625.00        7418.10
30/05/2023J J-CH              BY CH 388661 Q103              0.00     7414.00           4.10
02/06/2023S N308464           TO SALE                     3483.68        0.00        3487.78
03/06/2023S N308497           TO SALE                     3054.40        0.00        6542.18
06/06/2023J J-CH              BY CH 388662 Q103              0.00     6540.00           2.18
10/06/2023S L169989           TO SALE                     1000.00        0.00        1002.18
12/06/2023S N309636           TO SALE                     2406.26        0.00        3408.44
14/06/2023S N310040           TO SALE                     6474.55        0.00        9882.99
16/06/2023S N310340           TO SALE                     6373.92        0.00       16256.91
17/06/2023S N310379           TO SALE                     5153.06        0.00       21409.97
20/06/2023J J-CH              BY CH 388666 Q103              0.00     9883.00       11526.97
24/06/2023J J-CH              BY CH 388667 Q103              0.00    11527.00          -0.03
26/06/2023S N311485           TO SALE                     2499.93        0.00        2499.90
30/06/2023S N312044           TO SALE                     3736.42        0.00        6236.32
01/07/2023S N312145           TO SALE                     5088.74        0.00       11325.06
04/07/2023J J-CH              BY CH 388668 Q103              0.00     2500.00        8825.06
07/07/2023S N312979           TO SALE                     3054.99        0.00       11880.05
08/07/2023S N313018           TO SALE                     2430.56        0.00       14310.61
11/07/2023J J-CH              BY CH 388669 Q103              0.00     8825.00        5485.61
15/07/2023J J-CH              BY CH 388670 Q103              0.00     5486.00          -0.39
17/07/2023S N313887           TO SALE                     1243.89        0.00        1243.50
17/07/2023S N313901           TO SALE                     3475.14        0.00        4718.64
19/07/2023S N314123           TO SALE                     1052.08        0.00        5770.72
19/07/2023S N314170           TO SALE                     4894.02        0.00       10664.74
20/07/2023J J-CH              BY CH 388671 Q103              0.00     4720.00        5944.74
21/07/2023S N314508           TO SALE                     4269.52        0.00       10214.26
22/07/2023S N314540           TO SALE                     5640.48        0.00       15854.74
25/07/2023J J-CH              BY CH 388673 Q103              0.00     5945.00        9909.74
28/07/2023S N315236           TO SALE                     3580.85        0.00       13490.59
29/07/2023J J-CH              BY CH 388674 Q103              0.00     9910.00        3580.59
31/07/2023S N315397           TO SALE                      948.71        0.00        4529.30
04/08/2023S N316047           TO SALE                     1011.03        0.00        5540.33
05/08/2023S N316147           TO SALE                     3997.46        0.00        9537.79
08/08/2023J J-CH              BY CH 388675 Q103              0.00     4530.00        5007.79
09/08/2023J J-CH              BY CH 388677 Q103              0.00     5000.00           7.79
16/08/2023S N317586           TO SALE                     2715.91        0.00        2723.70
17/08/2023C A103S             BY CASH N317586 SUSHIL C       0.00     2715.91           7.79
28/08/2023S N319123           TO SALE                     1323.16        0.00        1330.95
29/08/2023C A201S             BY CASH N319123 SUSHIL C       0.00     1323.16           7.79
01/09/2023S B549403           TO SALE                     6551.14        0.00        6558.93
02/09/2023S N319857           TO SALE                     7126.75        0.00       13685.68
04/09/2023S N320107           TO SALE                     2392.76        0.00       16078.44
05/09/2023J J-CH              BY CH 388678 Q103              0.00    13768.00        2310.44
06/09/2023C A201S             BY CASH N320107 SUSHIL C       0.00     2392.76         -82.32
08/09/2023S N320762           TO SALE                     4917.86        0.00        4835.54
09/09/2023S N320800           TO SALE                     9443.97        0.00       14279.51
13/09/2023J J-CH              BY CH 388679 Q103              0.00    14270.00           9.51
15/09/2023S N321652           TO SALE                     3849.90        0.00        3859.41
16/09/2023S N321701           TO SALE                     2298.01        0.00        6157.42
18/09/2023S N321930           TO SALE                     1705.74        0.00        7863.16
19/09/2023C A201S             BY CASH N321930 SUSHIL C       0.00     1705.74        6157.42
19/09/2023J J-CH              BY CH 388680 Q103              0.00     6150.00           7.42
20/09/2023S N322218           TO SALE                      654.04        0.00         661.46
22/09/2023S N322552           TO SALE                     3520.95        0.00        4182.41
23/09/2023S N322612           TO SALE                     9269.83        0.00       13452.24
27/09/2023J J-CH              BY CH 388681 Q103              0.00    13445.00           7.24
29/09/2023S N323478           TO SALE                     8501.40        0.00        8508.64
30/09/2023S N323556           TO SALE                     3273.00        0.00       11781.64
06/10/2023S N324458           TO SALE                     2895.23        0.00       14676.87
07/10/2023S N324503           TO SALE                     7787.94        0.00       22464.81
07/10/2023J J-CH              BY CH 388682 Q103              0.00    11774.00       10690.81
09/10/2023S M206652           TO SALE                    -1054.12        0.00        9636.69
10/10/2023J J-CH              BY CH 388684 Q103              0.00    10683.00       -1046.31
11/10/2023S N325108           TO SALE                     2082.74        0.00        1036.43
13/10/2023S N325339           TO SALE                     3500.19        0.00        4536.62
13/10/2023J CN3139            BY CN 3139                     0.00      594.00        3942.62
14/10/2023S N325417           TO SALE                     5837.41        0.00        9780.03
16/10/2023S N325674           TO SALE                     2537.74        0.00       12317.77
18/10/2023S N325960           TO SALE                     2210.85        0.00       14528.62
18/10/2023J J-CH              BY CH 388686 Q103              0.00     7394.00        7134.62
19/10/2023S O108098           TO SALE                     -948.71        0.00        6185.91
20/10/2023S N326212           TO SALE                     2710.40        0.00        8896.31
20/10/2023J J-CH              BY CH 388687 Q103              0.00     2538.00        6358.31
21/10/2023S N326307           TO SALE                     5416.62        0.00       11774.93
