

A/C SHRI HANS SHARMA SWEET SHOP RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 M093 VILL.   PO RAMPUR BUSHAHR                   PAN            9418033123  LBR
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      37156.29
01/04/2023S B542979           TO SALE                    22442.04        0.00       59598.33
03/04/2023S C626886           TO SALE                     8102.80        0.00       67701.13
04/04/2023S B543053           TO SALE                    12861.29        0.00       80562.42
05/04/2023S B543124           TO SALE                    18987.15        0.00       99549.57
05/04/2023J J-CH              BY CH 021581 Q113              0.00    67700.00       31849.57
06/04/2023S B543194           TO SALE                    21898.40        0.00       53747.97
07/04/2023S B543237           TO SALE                    12005.08        0.00       65753.05
08/04/2023S B543321           TO SALE                     7984.38        0.00       73737.43
10/04/2023S B543365           TO SALE                    11102.46        0.00       84839.89
12/04/2023J J-CH              BY CH 021582 Q113              0.00    73736.00       11103.89
13/04/2023S B543530           TO SALE                     7560.18        0.00       18664.07
17/04/2023S B543665           TO SALE                     6612.40        0.00       25276.47
19/04/2023S B543749           TO SALE                    10267.40        0.00       35543.87
19/04/2023J J-CH              BY CH 021583 Q113              0.00    25275.00       10268.87
20/04/2023S B543778           TO SALE                    21610.06        0.00       31878.93
21/04/2023S B543863           TO SALE                     9775.06        0.00       41653.99
24/04/2023S B543950           TO SALE                    21609.32        0.00       63263.31
25/04/2023S B543990           TO SALE                     7089.26        0.00       70352.57
26/04/2023J J-CH              BY CH 021584 Q113              0.00    45304.00       25048.57
28/04/2023S B544169           TO SALE                    13734.72        0.00       38783.29
28/04/2023J J-CH              BY CH 021585 Q113              0.00    25048.00       13735.29
29/04/2023S B544227           TO SALE                    11775.02        0.00       25510.31
01/05/2023S B544257           TO SALE                    11643.80        0.00       37154.11
01/05/2023S B544284           TO SALE                    14860.44        0.00       52014.55
03/05/2023S B544386           TO SALE                      644.00        0.00       52658.55
03/05/2023S B544387           TO SALE                     9844.18        0.00       62502.73
04/05/2023S B544450           TO SALE                     8954.16        0.00       71456.89
08/05/2023S B544563           TO SALE                     5789.26        0.00       77246.15
08/05/2023J J-CH              BY CH 021595 Q113              0.00    71457.00        5789.15
09/05/2023S B544629           TO SALE                     5901.84        0.00       11690.99
09/05/2023S B544658           TO SALE                     6748.88        0.00       18439.87
10/05/2023S B544723           TO SALE                     8653.20        0.00       27093.07
13/05/2023S B544883           TO SALE                     5000.84        0.00       32093.91
15/05/2023S B544940           TO SALE                    28074.96        0.00       60168.87
18/05/2023S B545086           TO SALE                    17149.96        0.00       77318.83
19/05/2023S B545131           TO SALE                    11835.96        0.00       89154.79
20/05/2023J J-CH              BY CH 021598 Q113              0.00    71530.00       17624.79
20/05/2023J J-CH              BY CH 021599 Q113              0.00     5789.00       11835.79
23/05/2023S B545282           TO SALE                     6748.88        0.00       18584.67
24/05/2023S B545308           TO SALE                     6748.88        0.00       25333.55
26/05/2023S B545425           TO SALE                     7734.53        0.00       33068.08
29/05/2023S B545490           TO SALE                    13962.38        0.00       47030.46
30/05/2023S B545541           TO SALE                    14093.55        0.00       61124.01
31/05/2023J J-CH              BY CH 021600 Q113              0.00    47030.00       14094.01
02/06/2023S B545682           TO SALE                     9434.15        0.00       23528.16
03/06/2023S B545734           TO SALE                      315.00        0.00       23843.16
03/06/2023S B545735           TO SALE                     6079.67        0.00       29922.83
05/06/2023S B545790           TO SALE                    15604.96        0.00       45527.79
05/06/2023S B545793           TO SALE                    11713.80        0.00       57241.59
07/06/2023S B545898           TO SALE                    22961.92        0.00       80203.51
09/06/2023S B546021           TO SALE                     5185.05        0.00       85388.56
10/06/2023S B546063           TO SALE                    13338.16        0.00       98726.72
12/06/2023S B546086           TO SALE                    10509.78        0.00      109236.50
14/06/2023S B546226           TO SALE                     5824.26        0.00      115060.76
16/06/2023S B546295           TO SALE                     8940.77        0.00      124001.53
17/06/2023S B546369           TO SALE                    10602.90        0.00      134604.43
22/06/2023S B546575           TO SALE                     6764.05        0.00      141368.48
24/06/2023S B546668           TO SALE                    10934.16        0.00      152302.64
26/06/2023S B546699           TO SALE                    11779.48        0.00      164082.12
27/06/2023J J-CH              BY CH 021612 Q113              0.00   141368.00       22714.12
29/06/2023S B546830           TO SALE                     8103.88        0.00       30818.00
01/07/2023S B546915           TO SALE                     7274.27        0.00       38092.27
01/07/2023S B546964           TO SALE                     4151.20        0.00       42243.47
03/07/2023S B546989           TO SALE                     6294.84        0.00       48538.31
04/07/2023J J-CH              BY CH 021622 Q113              0.00    42243.00        6295.31
05/07/2023S B547115           TO SALE                     7028.28        0.00       13323.59
06/07/2023S B547147           TO SALE                     8809.50        0.00       22133.09
08/07/2023S B547238           TO SALE                     6089.32        0.00       28222.41
10/07/2023S B547257           TO SALE                    30560.14        0.00       58782.55
13/07/2023S B547368           TO SALE                     4716.43        0.00       63498.98
14/07/2023S B547423           TO SALE                    10585.66        0.00       74084.64
14/07/2023J J-CH              BY CH 021623 Q113              0.00    58782.00       15302.64
15/07/2023S B547479           TO SALE                     4734.32        0.00       20036.96
17/07/2023S B547527           TO SALE                     3557.38        0.00       23594.34
19/07/2023S B547612           TO SALE                     9090.28        0.00       32684.62
19/07/2023J J-CH              BY CH 021625 Q113              0.00    20037.00       12647.62
20/07/2023S B547645           TO SALE                    10164.50        0.00       22812.12
21/07/2023S B547707           TO SALE                     4355.40        0.00       27167.52
24/07/2023S B547778           TO SALE                     6956.26        0.00       34123.78
25/07/2023S B547827           TO SALE                     3557.38        0.00       37681.16
25/07/2023J J-CH              BY CH 021627 Q113              0.00    27168.00       10513.16
27/07/2023S B547894           TO SALE                    24078.94        0.00       34592.10
01/08/2023S B548051           TO SALE                     8434.10        0.00       43026.20
04/08/2023S B945643           TO SALE                     5863.64        0.00       48889.84
05/08/2023S B548244           TO SALE                    13458.59        0.00       62348.43
08/08/2023S B548324           TO SALE                     8066.02        0.00       70414.45
08/08/2023J J-CH              BY CH 021637 Q113              0.00    43027.00       27387.45
11/08/2023S B548516           TO SALE                     3925.50        0.00       31312.95
11/08/2023S B548517           TO SALE                     4133.44        0.00       35446.39
12/08/2023S B548537           TO SALE                     9928.16        0.00       45374.55
12/08/2023S B548587           TO SALE                     6654.38        0.00       52028.93
15/08/2023S B548670           TO SALE                    22696.04        0.00       74724.97
16/08/2023S B548695           TO SALE                     6944.80        0.00       81669.77
17/08/2023S B548721           TO SALE                     6654.38        0.00       88324.15
17/08/2023J J-CH              BY CH 021639 Q113              0.00    52029.00       36295.15
18/08/2023S B548770           TO SALE                    11270.58        0.00       47565.73
18/08/2023S B548799           TO SALE                     3136.90        0.00       50702.63
19/08/2023S B548850           TO SALE                     7314.66        0.00       58017.29
19/08/2023S C629612           TO SALE                     1680.00        0.00       59697.29
21/08/2023S B548862           TO SALE                    12887.66        0.00       72584.95
22/08/2023S B548921           TO SALE                     4766.37        0.00       77351.32
23/08/2023S B548969           TO SALE                     9928.16        0.00       87279.48
23/08/2023J J-CH              BY CH 021642 Q113              0.00    59697.00       27582.48
24/08/2023S B549041           TO SALE                    19460.92        0.00       47043.40
25/08/2023S B549077           TO SALE                     6128.37        0.00       53171.77
26/08/2023S B549142           TO SALE                    11525.66        0.00       64697.43
26/08/2023S B549165           TO SALE                     5096.52        0.00       69793.95
28/08/2023S B549177           TO SALE                    11293.16        0.00       81087.11
29/08/2023S B549237           TO SALE                     9532.78        0.00       90619.89
29/08/2023S B549262           TO SALE                     1680.00        0.00       92299.89
29/08/2023S B549266           TO SALE                     2878.40        0.00       95178.29
01/09/2023S B549370           TO SALE                     9405.13        0.00      104583.42
02/09/2023S B549441           TO SALE                     4436.26        0.00      109019.68
02/09/2023J J-CH              BY CH 021645 Q113              0.00    95179.00       13840.68
04/09/2023S B549465           TO SALE                     6654.38        0.00       20495.06
04/09/2023S B549468           TO SALE                    13403.45        0.00       33898.51
05/09/2023S B549537           TO SALE                     4766.37        0.00       38664.88
06/09/2023S B549583           TO SALE                     7710.02        0.00       46374.90
07/09/2023S B549641           TO SALE                    16309.66        0.00       62684.56
07/09/2023S E191932           TO SALE                     1814.40        0.00       64498.96
08/09/2023S B549697           TO SALE                    10001.66        0.00       74500.62
08/09/2023S B549745           TO SALE                     3091.90        0.00       77592.52
09/09/2023S B549804           TO SALE                     5013.76        0.00       82606.28
11/09/2023S B549843           TO SALE                    11509.43        0.00       94115.71
12/09/2023S B549873           TO SALE                     6262.61        0.00      100378.32
12/09/2023J J-CH              BY CH 021655 Q113              0.00    82606.00       17772.32
13/09/2023S B549942           TO SALE                    13135.83        0.00       30908.15
14/09/2023S B550018           TO SALE                    14630.64        0.00       45538.79
15/09/2023S B550055           TO SALE                     7299.72        0.00       52838.51
16/09/2023S B550106           TO SALE                    21847.65        0.00       74686.16
16/09/2023S B550133           TO SALE                    15419.59        0.00       90105.75
16/09/2023S B550134           TO SALE                     1841.08        0.00       91946.83
18/09/2023S B550170           TO SALE                    11124.23        0.00      103071.06
19/09/2023S B550204           TO SALE                     5985.00        0.00      109056.06
19/09/2023J J-CH              BY CH 021656 Q113              0.00    91947.00       17109.06
20/09/2023S B550257           TO SALE                    10878.33        0.00       27987.39
21/09/2023S B550340           TO SALE                     5821.90        0.00       33809.29
21/09/2023S B550345           TO SALE                      451.50        0.00       34260.79
22/09/2023S L177025           TO SALE                     3533.40        0.00       37794.19
23/09/2023S B550444           TO SALE                    10770.00        0.00       48564.19
25/09/2023S B550457           TO SALE                    17060.60        0.00       65624.79
26/09/2023S B550532           TO SALE                     5401.90        0.00       71026.69
26/09/2023J J-CH              BY CH 021657 Q113              0.00    48565.00       22461.69
28/09/2023S B550623           TO SALE                    18584.50        0.00       41046.19
28/09/2023S Q163901           TO SALE                     1685.90        0.00       42732.09
29/09/2023S B550672           TO SALE                     8198.74        0.00       50930.83
30/09/2023S B550699           TO SALE                    19700.71        0.00       70631.54
30/09/2023S B550750           TO SALE                    11152.55        0.00       81784.09
02/10/2023S B550754           TO SALE                    13663.10        0.00       95447.19
02/10/2023S B550806           TO SALE                     5401.90        0.00      100849.09
04/10/2023S B550860           TO SALE                     9563.74        0.00      110412.83
04/10/2023J J-CH              BY CH 021668 Q113              0.00    81784.00       28628.83
05/10/2023S B550930           TO SALE                    24120.35        0.00       52749.18
06/10/2023S B550999           TO SALE                    14445.00        0.00       67194.18
07/10/2023S B551055           TO SALE                     3433.92        0.00       70628.10
07/10/2023S B551060           TO SALE                    21744.66        0.00       92372.76
09/10/2023S B551065           TO SALE                    11731.54        0.00      104104.30
09/10/2023S B551113           TO SALE                    11963.12        0.00      116067.42
10/10/2023S B551175           TO SALE                    17771.64        0.00      133839.06
11/10/2023J J-CH              BY CH 021670 Q113              0.00    92374.00       41465.06
12/10/2023S B551229           TO SALE                    25940.90        0.00       67405.96
14/10/2023S B551332           TO SALE                    22628.12        0.00       90034.08
14/10/2023S B551372           TO SALE                     6484.92        0.00       96519.00
14/10/2023J J-CH              BY CH 021671 Q113              0.00    67406.00       29113.00
16/10/2023S B551380           TO SALE                    19003.11        0.00       48116.11
17/10/2023S B551431           TO SALE                    18635.30        0.00       66751.41
18/10/2023S B551513           TO SALE                    14385.85        0.00       81137.26
19/10/2023S B551556           TO SALE                    14822.50        0.00       95959.76
20/10/2023J J-CH              BY CH 021672 Q113              0.00    66835.00       29124.76
21/10/2023S B551652           TO SALE                    25717.04        0.00       54841.80
23/10/2023S B551691           TO SALE                     7779.10        0.00       62620.90
23/10/2023J J-CH              BY CH 021673 Q113              0.00    29208.00       33412.90
24/10/2023S B551760           TO SALE                    10063.70        0.00       43476.60
26/10/2023S B551826           TO SALE                    26233.20        0.00       69709.80
27/10/2023S B551893           TO SALE                     9378.63        0.00       79088.43
28/10/2023S B551911           TO SALE                    29611.32        0.00      108699.75
28/10/2023S B551964           TO SALE                    28443.24        0.00      137142.99
30/10/2023S B551968           TO SALE                    22082.87        0.00      159225.86
31/10/2023S B552046           TO SALE                     7043.40        0.00      166269.26
01/11/2023S B552125           TO SALE                    16626.44        0.00      182895.70
02/11/2023S B552174           TO SALE                    15708.84        0.00      198604.54
03/11/2023S B552213           TO SALE                     9323.65        0.00      207928.19
04/11/2023S B552273           TO SALE                    15955.65        0.00      223883.84
04/11/2023S B552275           TO SALE                     8942.64        0.00      232826.48
06/11/2023S B552282           TO SALE                     4695.60        0.00      237522.08
06/11/2023S B552283           TO SALE                     6148.10        0.00      243670.18
06/11/2023S B552332           TO SALE                    22090.52        0.00      265760.70
06/11/2023S E192355           TO SALE                     1814.40        0.00      267575.10
07/11/2023S B552381           TO SALE                    25087.86        0.00      292662.96
11/11/2023S B552591           TO SALE                     9786.27        0.00      302449.23
14/11/2023S B552728           TO SALE                    12273.68        0.00      314722.91
15/11/2023J J-CH              BY CH 026489 Q113              0.00   302450.00       12272.91
16/11/2023S B552790           TO SALE                     8600.81        0.00       20873.72
16/11/2023S B552825           TO SALE                     1728.16        0.00       22601.88
20/11/2023S B552935           TO SALE                    10371.38        0.00       32973.26
21/11/2023J J-CH              BY CH 026492 Q113              0.00    22603.00       10370.26
22/11/2023S B553071           TO SALE                    11130.08        0.00       21500.34
23/11/2023S C631605           TO SALE                    18730.87        0.00       40231.21

                         TOTAL                         1898408.21  1858177.00       40231.21


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
