

A/C VIDYA BOOK DEPOT RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 M505 VILL.   PO RAMPUR BUSHAHR                   PAN            9418600191  LCS
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      15388.79
05/04/2023S C626964           TO SALE                     1871.20        0.00       17259.99
05/04/2023S G285897           TO SALE                     3090.57        0.00       20350.56
10/04/2023S C627069           TO SALE                     1402.13        0.00       21752.69
10/04/2023S G285979           TO SALE                     2725.80        0.00       24478.49
10/04/2023S G285980           TO SALE                      317.12        0.00       24795.61
10/04/2023S P230238           TO SALE                     2262.54        0.00       27058.15
11/04/2023J J-CH              BY CH 853556 Q103              0.00    16000.00       11058.15
13/04/2023S P230273           TO SALE                     5819.88        0.00       16878.03
14/04/2023S M206098           TO SALE                     -216.00        0.00       16662.03
18/04/2023S C627253           TO SALE                     1401.85        0.00       18063.88
18/04/2023S G286094           TO SALE                     4651.15        0.00       22715.03
18/04/2023S P230318           TO SALE                     4993.32        0.00       27708.35
19/04/2023J J-CH              BY CH 853561 Q103              0.00    10000.00       17708.35
20/04/2023S C627295           TO SALE                     1560.52        0.00       19268.87
25/04/2023S E191019           TO SALE                     2128.90        0.00       21397.77
25/04/2023S G286194           TO SALE                      817.41        0.00       22215.18
25/04/2023S P230368           TO SALE                     2179.76        0.00       24394.94
01/05/2023S C627516           TO SALE                     5282.63        0.00       29677.57
01/05/2023S G286277           TO SALE                     2421.68        0.00       32099.25
01/05/2023S G286278           TO SALE                     2315.54        0.00       34414.79
03/05/2023J J-CH              BY CH 853563 Q103              0.00    10000.00       24414.79
11/05/2023S B544776           TO SALE                     4309.50        0.00       28724.29
11/05/2023S C627759           TO SALE                     1512.17        0.00       30236.46
11/05/2023S C627773           TO SALE                     1873.94        0.00       32110.40
11/05/2023S E191150           TO SALE                      707.28        0.00       32817.68
11/05/2023S G286447           TO SALE                     2600.86        0.00       35418.54
12/05/2023S G286455           TO SALE                      710.54        0.00       36129.08
12/05/2023S G286456           TO SALE                      690.60        0.00       36819.68
12/05/2023J J-CH              BY CH 853566 Q103              0.00    10000.00       26819.68
16/05/2023S B544985           TO SALE                      828.97        0.00       27648.65
16/05/2023S B544987           TO SALE                     6312.32        0.00       33960.97
25/05/2023S C628060           TO SALE                     4266.99        0.00       38227.96
26/05/2023S C628068           TO SALE                     1901.80        0.00       40129.76
26/05/2023S G286685           TO SALE                     6171.98        0.00       46301.74
26/05/2023S P230548           TO SALE                     1797.86        0.00       48099.60
26/05/2023J J-CH              BY CH 853569 Q103              0.00    20000.00       28099.60
01/06/2023S B545638           TO SALE                     7637.62        0.00       35737.22
01/06/2023S B545639           TO SALE                     2824.33        0.00       38561.55
01/06/2023S C628208           TO SALE                     1345.15        0.00       39906.70
01/06/2023S G286787           TO SALE                     2921.24        0.00       42827.94
06/06/2023S B545825           TO SALE                     1399.92        0.00       44227.86
07/06/2023J J-CH              BY CH 853572 Q103              0.00    20000.00       24227.86
14/06/2023S B546215           TO SALE                     3303.40        0.00       27531.26
14/06/2023S C628486           TO SALE                      830.54        0.00       28361.80
14/06/2023S G286998           TO SALE                     3389.83        0.00       31751.63
20/06/2023S C628594           TO SALE                     1738.89        0.00       33490.52
20/06/2023S G287092           TO SALE                     2666.12        0.00       36156.64
22/06/2023J J-CH              BY CH 853574 Q103              0.00    20000.00       16156.64
03/07/2023S B547005           TO SALE                      514.48        0.00       16671.12
03/07/2023S B547006           TO SALE                     8089.12        0.00       24760.24
03/07/2023S G287294           TO SALE                      648.40        0.00       25408.64
06/07/2023J J-CH              BY CH 853577 Q103              0.00    10000.00       15408.64
07/07/2023S B547163           TO SALE                     2068.20        0.00       17476.84
17/07/2023S C629047           TO SALE                     1582.99        0.00       19059.83
17/07/2023S G287491           TO SALE                     1483.62        0.00       20543.45
17/07/2023S G287492           TO SALE                      253.76        0.00       20797.21
25/07/2023S B547817           TO SALE                     2710.74        0.00       23507.95
26/07/2023J J-CH              BY CH 853580 Q103              0.00    10000.00       13507.95
31/07/2023S C629269           TO SALE                      670.83        0.00       14178.78
31/07/2023S G287679           TO SALE                     1374.79        0.00       15553.57
03/08/2023S B548153           TO SALE                      700.22        0.00       16253.79
03/08/2023S C629324           TO SALE                     3388.69        0.00       19642.48
10/08/2023S C629447           TO SALE                     1752.85        0.00       21395.33
10/08/2023S G287811           TO SALE                     2658.68        0.00       24054.01
10/08/2023S G287812           TO SALE                     2366.50        0.00       26420.51
10/08/2023J J-CH              BY CH 853583 Q103              0.00    10000.00       16420.51
15/08/2023J CN3114            BY CN 3114                     0.00      549.07       15871.44
18/08/2023S B548761           TO SALE                     1802.22        0.00       17673.66
21/08/2023S C629636           TO SALE                     2640.49        0.00       20314.15
21/08/2023S G287938           TO SALE                     3165.60        0.00       23479.75
21/08/2023S G287941           TO SALE                     2371.51        0.00       25851.26
22/08/2023J J-CH              BY CH 853586 Q103              0.00    10000.00       15851.26
26/08/2023S B549157           TO SALE                      877.88        0.00       16729.14
26/08/2023S B549158           TO SALE                     7794.29        0.00       24523.43
26/08/2023S G287989           TO SALE                     1511.61        0.00       26035.04
29/08/2023S P231096           TO SALE                     4018.84        0.00       30053.88
31/08/2023S B549329           TO SALE                     1828.14        0.00       31882.02
31/08/2023S C629842           TO SALE                     7449.84        0.00       39331.86
31/08/2023S G288030           TO SALE                     1656.96        0.00       40988.82
04/09/2023J J-CH              BY CH 853588 Q103              0.00    15000.00       25988.82
11/09/2023S C630046           TO SALE                     2620.92        0.00       28609.74
11/09/2023S G288183           TO SALE                     3595.83        0.00       32205.57
11/09/2023S G288184           TO SALE                     8315.90        0.00       40521.47
14/09/2023S G288237           TO SALE                     1044.60        0.00       41566.07
14/09/2023S G288238           TO SALE                     1552.88        0.00       43118.95
18/09/2023S B550176           TO SALE                      594.28        0.00       43713.23
18/09/2023S G288296           TO SALE                     2389.91        0.00       46103.14
19/09/2023J J-CH              BY CH 853593 Q103              0.00    20000.00       26103.14
22/09/2023S C630287           TO SALE                     4737.53        0.00       30840.67
26/09/2023S C630337           TO SALE                     4137.57        0.00       34978.24
26/09/2023S G288398           TO SALE                     2508.46        0.00       37486.70
03/10/2023S B550841           TO SALE                      543.68        0.00       38030.38
03/10/2023S B550842           TO SALE                      555.92        0.00       38586.30
03/10/2023S G288486           TO SALE                     4164.26        0.00       42750.56
04/10/2023J J-CH              BY CH 853596 Q103              0.00    20000.00       22750.56
05/10/2023S C630537           TO SALE                     1108.74        0.00       23859.30
06/10/2023S G288538           TO SALE                     2162.67        0.00       26021.97
06/10/2023S G288539           TO SALE                     1635.48        0.00       27657.45
12/10/2023S C630681           TO SALE                      645.70        0.00       28303.15
13/10/2023S B551313           TO SALE                     1971.76        0.00       30274.91
13/10/2023S C630709           TO SALE                     2030.73        0.00       32305.64
13/10/2023S G288625           TO SALE                     1552.88        0.00       33858.52
13/10/2023S G288626           TO SALE                     3824.84        0.00       37683.36
20/10/2023S G288728           TO SALE                      704.70        0.00       38388.06
20/10/2023S G288729           TO SALE                     2568.08        0.00       40956.14
23/10/2023S B551712           TO SALE                     3663.02        0.00       44619.16
25/10/2023J J-CH              BY CH 853600 Q103              0.00    20000.00       24619.16
26/10/2023S C631015           TO SALE                     1796.79        0.00       26415.95
31/10/2023S B552045           TO SALE                      268.38        0.00       26684.33
31/10/2023S C631083           TO SALE                     4967.63        0.00       31651.96
31/10/2023S E192318           TO SALE                     2535.72        0.00       34187.68
31/10/2023S G288845           TO SALE                      358.40        0.00       34546.08
31/10/2023S G288846           TO SALE                     4991.11        0.00       39537.19
14/11/2023S B552717           TO SALE                     2068.66        0.00       41605.85
14/11/2023S B552718           TO SALE                     2687.56        0.00       44293.41
14/11/2023S C631405           TO SALE                     4370.39        0.00       48663.80
14/11/2023S E192417           TO SALE                      797.64        0.00       49461.44
14/11/2023S G289014           TO SALE                     4234.07        0.00       53695.51
14/11/2023J J-CH              BY CH 853605 Q103              0.00    20000.00       33695.51
23/11/2023S C631599           TO SALE                      677.42        0.00       34372.93
23/11/2023S C631604           TO SALE                      365.76        0.00       34738.69
23/11/2023S G289146           TO SALE                     4017.88        0.00       38756.57

                         TOTAL                          280305.64   241549.07       38756.57


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
