

A/C ISHAN GENERAL STORE CHATI        In M/S RAM KISHAN JIVA RAM Page No. 1
 N074 VILL. CHATI  PO RAMPUR BUSHAHR              PAN            9816069044  33G
      AADHAR          0   GSTIN                
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F      28680.40
01/04/2023S N300122           TO SALE                     5472.85        0.00       34153.25
04/04/2023S N300433           TO SALE                     3220.07        0.00       37373.32
04/04/2023S N300451           TO SALE                     3683.77        0.00       41057.09
04/04/2023J J-CH              BY CH 288552 Q101              0.00    28680.00       12377.09
06/04/2023S N300690           TO SALE                    13734.92        0.00       26112.01
06/04/2023S N300729           TO SALE                    10545.84        0.00       36657.85
08/04/2023S N301045           TO SALE                     2298.47        0.00       38956.32
08/04/2023S N301066           TO SALE                     1217.42        0.00       40173.74
11/04/2023S N301333           TO SALE                      880.58        0.00       41054.32
11/04/2023S N301359           TO SALE                      843.18        0.00       41897.50
12/04/2023J J-CH              BY CH 288553 Q101              0.00    36658.00        5239.50
14/04/2023S N301805           TO SALE                    16891.80        0.00       22131.30
15/04/2023S N302018           TO SALE                     1243.89        0.00       23375.19
15/04/2023S N302064           TO SALE                     2986.99        0.00       26362.18
18/04/2023S N302395           TO SALE                     2612.38        0.00       28974.56
18/04/2023S N302420           TO SALE                     6359.91        0.00       35334.47
19/04/2023J J93207            BY GOOGLE                      0.00     3517.00       31817.47
20/04/2023S N302618           TO SALE                     8766.70        0.00       40584.17
21/04/2023S N302728           TO SALE                     6729.38        0.00       47313.55
21/04/2023J J-CH              BY CH 288558 Q101              0.00    16891.80       30421.75
24/04/2023J J-CH              BY CH 288560 Q101              0.00     4231.00       26190.75
25/04/2023S N303320           TO SALE                     2890.96        0.00       29081.71
25/04/2023S N303360           TO SALE                      880.58        0.00       29962.29
26/04/2023J J93287            BY GOOGLE                      0.00     3772.00       26190.29
26/04/2023J J-CH              BY CH 288561 Q101              0.00     8973.00       17217.29
27/04/2023S N303567           TO SALE                     4952.08        0.00       22169.37
28/04/2023S N303719           TO SALE                     5594.49        0.00       27763.86
28/04/2023J J-CH              BY CH 288562 Q101              0.00    15496.00       12267.86
29/04/2023S N303973           TO SALE                     3370.26        0.00       15638.12
29/04/2023S N304009           TO SALE                     4170.13        0.00       19808.25
02/05/2023S N304285           TO SALE                      880.58        0.00       20688.83
02/05/2023S N304302           TO SALE                     2680.84        0.00       23369.67
04/05/2023S N304604           TO SALE                     8852.52        0.00       32222.19
04/05/2023J J-CH              BY CH 288564 Q101              0.00    10547.00       21675.19
05/05/2023S N304666           TO SALE                    11049.12        0.00       32724.31
06/05/2023S N304919           TO SALE                      270.10        0.00       32994.41
06/05/2023S N304951           TO SALE                     2352.65        0.00       35347.06
06/05/2023J J-CH              BY CH 288565 Q101              0.00     7540.00       27807.06
09/05/2023S N305269           TO SALE                      736.20        0.00       28543.26
09/05/2023S N305293           TO SALE                     4054.99        0.00       32598.25
10/05/2023S O106271           TO SALE                     -817.21        0.00       31781.04
10/05/2023J J-CH              BY CH 288567 Q101              0.00     5283.00       26498.04
11/05/2023S N305466           TO SALE                    19078.64        0.00       45576.68
11/05/2023S N305492           TO SALE                     1735.02        0.00       47311.70
12/05/2023J J-CH              BY CH 288569 Q101              0.00    19902.00       27409.70
16/05/2023S N306186           TO SALE                     2096.45        0.00       29506.15
16/05/2023S N306213           TO SALE                     3362.16        0.00       32868.31
16/05/2023J J-CH              BY CH 288570 Q101              0.00     6596.00       26272.31
18/05/2023S N306458           TO SALE                     5903.76        0.00       32176.07
19/05/2023S N306526           TO SALE                     6660.26        0.00       38836.33
19/05/2023J J-CH              BY CH 288571 Q101              0.00    20037.00       18799.33
20/05/2023S N306826           TO SALE                     2192.36        0.00       20991.69
23/05/2023S N307102           TO SALE                     6935.00        0.00       27926.69
23/05/2023J J-CH              BY CH 288572 Q101              0.00     6235.00       21691.69
25/05/2023J J-CH              BY CH 288574 Q101              0.00    12564.00        9127.69
29/05/2023J J-CH              BY CH 288575 Q101              0.00     2192.00        6935.69
30/05/2023S N307949           TO SALE                      246.09        0.00        7181.78
30/05/2023S N307950           TO SALE                     2736.24        0.00        9918.02
30/05/2023S N307976           TO SALE                      880.58        0.00       10798.60
30/05/2023S N307977           TO SALE                     1458.89        0.00       12257.49
30/05/2023J J-CH              BY CH 288577 Q101              0.00     6935.00        5322.49
01/06/2023S N308329           TO SALE                     4123.66        0.00        9446.15
03/06/2023S N308606           TO SALE                     2639.58        0.00       12085.73
03/06/2023S N308629           TO SALE                     1992.24        0.00       14077.97
05/06/2023J J-CH              BY CH 288580 Q101              0.00     5321.00        8756.97
06/06/2023S N308882           TO SALE                      186.01        0.00        8942.98
06/06/2023S N308918           TO SALE                     1932.66        0.00       10875.64
07/06/2023J J-CH              BY CH 288581 Q101              0.00     4124.00        6751.64
08/06/2023S N309255           TO SALE                     7880.08        0.00       14631.72
09/06/2023S N309270           TO SALE                     4984.16        0.00       19615.88
09/06/2023J J-CH              BY CH 288583 Q101              0.00     4632.00       14983.88
13/06/2023S N309859           TO SALE                     1884.76        0.00       16868.64
13/06/2023S N309879           TO SALE                      422.26        0.00       17290.90
14/06/2023J J-CH              BY CH 288584 Q101              0.00    12864.00        4426.90
15/06/2023S N310086           TO SALE                     1747.00        0.00        6173.90
16/06/2023S N310210           TO SALE                     3571.80        0.00        9745.70
20/06/2023S N310757           TO SALE                      606.31        0.00       10352.01
20/06/2023S O106699           TO SALE                     -199.18        0.00       10152.83
21/06/2023C A102S             BY CASH N310757 ISHAN GE       0.00      606.31        9546.52
21/06/2023J J-CH              BY CH 288586 Q101              0.00     9744.00        -197.48
22/06/2023S N311014           TO SALE                     4440.14        0.00        4242.66
22/06/2023S N311022           TO SALE                     9233.25        0.00       13475.91
27/06/2023S N311680           TO SALE                     2724.58        0.00       16200.49
27/06/2023S N311716           TO SALE                      880.58        0.00       17081.07
29/06/2023J J-CH              BY CH 288588 Q101              0.00    17081.00           0.07
30/06/2023S N312003           TO SALE                     4494.10        0.00        4494.17
01/07/2023S N312228           TO SALE                     1315.94        0.00        5810.11
01/07/2023S N312247           TO SALE                     1071.82        0.00        6881.93
03/07/2023S O106863           TO SALE                    -1315.94        0.00        5565.99
04/07/2023S N312479           TO SALE                     3597.37        0.00        9163.36
04/07/2023S N312501           TO SALE                     3150.50        0.00       12313.86
05/07/2023J J-CH              BY CH 288591 Q101              0.00    12314.00          -0.14
06/07/2023S N312832           TO SALE                     4291.89        0.00        4291.75
07/07/2023S N312854           TO SALE                     1771.22        0.00        6062.97
08/07/2023S N313072           TO SALE                     1315.94        0.00        7378.91
08/07/2023S N313088           TO SALE                     1003.08        0.00        8381.99
10/07/2023J J-CH              BY CH 288592 Q101              0.00     7820.00         561.99
12/07/2023J J-CH              BY CH 288593 Q101              0.00     6063.00       -5501.01
12/07/2023J J-CH              BY CH 288594 Q101              0.00     2302.00       -7803.01
13/07/2023S N313509           TO SALE                     4286.07        0.00       -3516.94
14/07/2023S N313544           TO SALE                    14324.20        0.00       10807.26
14/07/2023S O106997           TO SALE                     -258.30        0.00       10548.96
15/07/2023S L172388           TO SALE                     1706.88        0.00       12255.84
18/07/2023S N314045           TO SALE                     3424.68        0.00       15680.52
18/07/2023S N314086           TO SALE                     2339.61        0.00       18020.13
20/07/2023S N314371           TO SALE                     5942.18        0.00       23962.31
20/07/2023J J-CH              BY CH 288595 Q101              0.00    18352.00        5610.31
21/07/2023S N314409           TO SALE                     7886.20        0.00       13496.51
25/07/2023S N314819           TO SALE                     4783.32        0.00       18279.83
27/07/2023S N315153           TO SALE                     5817.12        0.00       24096.95
27/07/2023J J-CH              BY CH 288599 Q101              0.00    19593.00        4503.95
29/07/2023S O107149           TO SALE                      -16.57        0.00        4487.38
01/08/2023S N315516           TO SALE                    17147.82        0.00       21635.20
01/08/2023S N315579           TO SALE                     2139.93        0.00       23775.13
02/08/2023J J-CH              BY CH 288603 Q101              0.00     6490.00       17285.13
04/08/2023S N315982           TO SALE                     1400.30        0.00       18685.43
08/08/2023S N316524           TO SALE                     5039.42        0.00       23724.85
08/08/2023S N316564           TO SALE                     1110.60        0.00       24835.45
09/08/2023J J-CH              BY CH 288604 Q101              0.00    25105.00        -269.55
11/08/2023S N316879           TO SALE                    17141.56        0.00       16872.01
12/08/2023S N317118           TO SALE                     2624.35        0.00       19496.36
14/08/2023S O107356           TO SALE                     -166.74        0.00       19329.62
14/08/2023S O107357           TO SALE                     -123.07        0.00       19206.55
15/08/2023S N317470           TO SALE                     1932.66        0.00       21139.21
15/08/2023S N317492           TO SALE                     4288.22        0.00       25427.43
15/08/2023S O107388           TO SALE                      -27.36        0.00       25400.07
15/08/2023J J-CH              BY CH 288607 Q101              0.00     6150.00       19250.07
16/08/2023J J-CH              BY CH 288612 Q101              0.00     2624.00       16626.07
17/08/2023S N317806           TO SALE                     5134.23        0.00       21760.30
17/08/2023J J-CH              BY CH 288610 Q101              0.00    16626.00        5134.30
18/08/2023S N317828           TO SALE                    15503.48        0.00       20637.78
24/08/2023S N318599           TO SALE                    12793.01        0.00       33430.79
24/08/2023J J-CH              BY CH 288617 Q101              0.00    20638.00       12792.79
25/08/2023S N318733           TO SALE                     8268.44        0.00       21061.23
26/08/2023S N318918           TO SALE                     1423.74        0.00       22484.97
29/08/2023S N319319           TO SALE                     1459.03        0.00       23944.00
29/08/2023S N319335           TO SALE                     2931.37        0.00       26875.37
31/08/2023S N319552           TO SALE                     6075.46        0.00       32950.83
01/09/2023S N319678           TO SALE                    21442.64        0.00       54393.47
02/09/2023S N319870           TO SALE                      696.34        0.00       55089.81
02/09/2023S N319893           TO SALE                      316.76        0.00       55406.57
05/09/2023S N320260           TO SALE                     1458.89        0.00       56865.46
05/09/2023S N320279           TO SALE                     4532.49        0.00       61397.95
05/09/2023J J-CH              BY CH 288620 Q101              0.00    21678.00       39719.95
05/09/2023J J-CH              BY CH 288623 Q101              0.00     5814.00       33905.95
06/09/2023J J-CH              BY CH 288624 Q101              0.00    33906.00          -0.05
07/09/2023S N320604           TO SALE                     4014.66        0.00        4014.61
08/09/2023S N320643           TO SALE                    12628.40        0.00       16643.01
09/09/2023S N320850           TO SALE                      408.58        0.00       17051.59
09/09/2023S N320873           TO SALE                     1552.88        0.00       18604.47
12/09/2023S N321102           TO SALE                     4195.04        0.00       22799.51
12/09/2023J J-CH              BY CH 288625 Q101              0.00     5991.00       16808.51
16/09/2023S L176597           TO SALE                      258.98        0.00       17067.49
16/09/2023S N321791           TO SALE                     1086.70        0.00       18154.19
16/09/2023S N321820           TO SALE                     3998.84        0.00       22153.03
16/09/2023J J-CH              BY CH 288628 Q101              0.00    12612.00        9541.03
19/09/2023S N322095           TO SALE                     4061.33        0.00       13602.36
19/09/2023S N322107           TO SALE                     4555.07        0.00       18157.43
21/09/2023S N322315           TO SALE                    10152.16        0.00       28309.59
22/09/2023S N322447           TO SALE                     7947.16        0.00       36256.75
25/09/2023J J-CH              BY CH 288633 Q101              0.00     9540.00       26716.75
26/09/2023S N323016           TO SALE                     3732.18        0.00       30448.93
26/09/2023S N323029           TO SALE                      679.03        0.00       31127.96
26/09/2023J J-CH              BY CH 288635 Q101              0.00     8616.00       22511.96
27/09/2023J J-CH              BY CH 288638 Q101              0.00    18100.00        4411.96
28/09/2023S N323355           TO SALE                     3769.56        0.00        8181.52
29/09/2023S N323377           TO SALE                     9723.90        0.00       17905.42
30/09/2023S N323620           TO SALE                      906.20        0.00       18811.62
30/09/2023S N323640           TO SALE                     1703.80        0.00       20515.42
04/10/2023J J-CH              BY CH 288639 Q101              0.00    17230.00        3285.42
05/10/2023S N324281           TO SALE                     3132.78        0.00        6418.20
06/10/2023S N324342           TO SALE                    13242.79        0.00       19660.99
07/10/2023S N324618           TO SALE                     2234.24        0.00       21895.23
07/10/2023J J-CH              BY CH 288642 Q101              0.00     2610.00       19285.23
12/10/2023S N325180           TO SALE                     8274.61        0.00       27559.84
12/10/2023J J-CH              BY CH 288618 Q101              0.00     7555.00       20004.84
13/10/2023S N325272           TO SALE                     6414.76        0.00       26419.60
13/10/2023J J-CH              BY CH 288644 Q101              0.00    16374.00       10045.60
14/10/2023S N325517           TO SALE                     1842.81        0.00       11888.41
17/10/2023S N325806           TO SALE                     2195.23        0.00       14083.64
17/10/2023S N325833           TO SALE                     3287.51        0.00       17371.15
19/10/2023S N326036           TO SALE                      617.40        0.00       17988.55
20/10/2023S N326165           TO SALE                     8924.16        0.00       26912.71
20/10/2023J J-CH              BY CH 288647 Q101              0.00    14690.00       12222.71
21/10/2023S N326406           TO SALE                     1243.89        0.00       13466.60
21/10/2023S N326425           TO SALE                      264.10        0.00       13730.70
24/10/2023S M206703           TO SALE                     -246.91        0.00       13483.79
24/10/2023S N326674           TO SALE                     4314.88        0.00       17798.67
24/10/2023S N326692           TO SALE                     7055.85        0.00       24854.52
26/10/2023S N327002           TO SALE                     2618.05        0.00       27472.57
27/10/2023J J-CH              BY CH 288648 Q101              0.00     9541.00       17931.57
31/10/2023S N327532           TO SALE                     2162.24        0.00       20093.81
01/11/2023J J-CH              BY CH 288649 Q101              0.00    12880.00        7213.81
02/11/2023S N327835           TO SALE                     4390.59        0.00       11604.40
03/11/2023S N327852           TO SALE                     4492.66        0.00       16097.06
04/11/2023S N328012           TO SALE                     1611.56        0.00       17708.62
04/11/2023S N328030           TO SALE                     4647.32        0.00       22355.94
06/11/2023J J-CH              BY CH 321276 Q101              0.00     7213.00       15142.94
07/11/2023S N328337           TO SALE                     3672.99        0.00       18815.93
07/11/2023S N328380           TO SALE                      969.16        0.00       19785.09
09/11/2023S N328667           TO SALE                     2767.34        0.00       22552.43
09/11/2023J J-CH              BY CH 321278 Q101              0.00     8884.00       13668.43
13/11/2023J J-CH              BY CH 321281 Q101              0.00     6258.00        7410.43
16/11/2023S N329537           TO SALE                     7468.39        0.00       14878.82
17/11/2023S N329600           TO SALE                     2271.36        0.00       17150.18
17/11/2023J J-CH              BY CH 321283 Q101              0.00     7410.00        9740.18
18/11/2023S N329901           TO SALE                      313.60        0.00       10053.78
21/11/2023S N330144           TO SALE                     2072.30        0.00       12126.08
21/11/2023S N330186           TO SALE                     7851.47        0.00       19977.55
21/11/2023C A206S             BY CASH N329901 ISHAN GE       0.00      313.60       19663.95
23/11/2023S N330419           TO SALE                     2798.56        0.00       22462.51
23/11/2023J J-CH              BY CH 321286 Q101              0.00     9690.00       12772.51
24/11/2023S N330493           TO SALE                     2545.70        0.00       15318.21
25/11/2023S N330744           TO SALE                     1160.22        0.00       16478.43
25/11/2023C C                 RN55121                        0.00       54.00       16424.43

                         TOTAL                          667883.14   651458.71       16424.43


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
