

A/C HPTDC BUSHAHR REGENCY RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 N078 VILL.   PO RAMPUR BUSHAHR                   PANAAACH4038E  9459383606  IBI
      AADHAR          0   GSTIN 02AAACH4038E2Z8
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F     108254.11
04/04/2023S L164780           TO SALE                    13444.18        0.00      121698.29
04/04/2023S L164781           TO SALE                    29785.73        0.00      151484.02
04/04/2023S L164782           TO SALE                     1587.78        0.00      153071.80
04/04/2023S L164783           TO SALE                     2568.36        0.00      155640.16
04/04/2023S L164784           TO SALE                    11521.53        0.00      167161.69
04/04/2023S L164785           TO SALE                     2838.87        0.00      170000.56
19/04/2023S L166162           TO SALE                     7094.52        0.00      177095.08
02/05/2023S L167013           TO SALE                     2166.89        0.00      179261.97
02/05/2023S L167014           TO SALE                     4420.81        0.00      183682.78
02/05/2023S L167015           TO SALE                    14147.74        0.00      197830.52
02/05/2023S L167016           TO SALE                    33131.85        0.00      230962.37
06/05/2023S E191115           TO SALE                      407.10        0.00      231369.47
11/05/2023J J93483            BY ONLINE TRF Q109             0.00   108254.11      123115.36
13/05/2023S L167903           TO SALE                     1094.97        0.00      124210.33
22/05/2023S C627991           TO SALE                      630.00        0.00      124840.33
22/05/2023S L168458           TO SALE                     5310.11        0.00      130150.44
24/05/2023S C628029           TO SALE                     1857.70        0.00      132008.14
26/05/2023S L168714           TO SALE                     2270.05        0.00      134278.19
31/05/2023S C628197           TO SALE                     8456.67        0.00      142734.86
31/05/2023S E191280           TO SALE                     1831.20        0.00      144566.06
01/06/2023S L169233           TO SALE                    12032.88        0.00      156598.94
01/06/2023S L169234           TO SALE                     5289.44        0.00      161888.38
01/06/2023S L169235           TO SALE                    35650.05        0.00      197538.43
01/06/2023S L169236           TO SALE                    22648.59        0.00      220187.02
08/06/2023S L169714           TO SALE                     6968.65        0.00      227155.67
15/06/2023S C628507           TO SALE                     2052.55        0.00      229208.22
15/06/2023J J94009            BY CH 938369                   0.00    68840.97      160367.25
17/06/2023S L170573           TO SALE                     1439.93        0.00      161807.18
