

A/C HPTDC CAFE SATLUJ RAMPUR       In M/S RAM KISHAN JIVA RAM Page No. 1
 N080 VILL.   PO RAMPUR BUSHAHR                   PANAAACH4038E  9459383606  IBI
      AADHAR          0   GSTIN 02AAACH4038E2Z8
   Date    No.      Particulars             Op. Balance      Debit     Credit     Balance
 **************************************************************************
                      MLY/YLY BALANCE B/F     153870.77
05/04/2023S L164854           TO SALE                     5945.30        0.00      159816.07
05/04/2023S L164855           TO SALE                    14936.82        0.00      174752.89
07/04/2023S L165180           TO SALE                     1175.58        0.00      175928.47
07/04/2023S O105884           TO SALE                    -1144.08        0.00      174784.39
08/04/2023S H397364           TO SALE                     1220.00        0.00      176004.39
08/04/2023S L165273           TO SALE                     1144.08        0.00      177148.47
08/04/2023S O105910           TO SALE                    -2120.58        0.00      175027.89
21/04/2023S B543853           TO SALE                      151.95        0.00      175179.84
21/04/2023S C627321           TO SALE                      467.40        0.00      175647.24
28/04/2023S L166818           TO SALE                     4438.43        0.00      180085.67
01/05/2023J J93341            BY ON LINE                     0.00   100000.00       80085.67
06/05/2023S L167436           TO SALE                    11287.07        0.00       91372.74
06/05/2023S L167437           TO SALE                    17351.20        0.00      108723.94
11/05/2023J J93483            BY ONLINE TRF Q109             0.00    41072.27       67651.67
15/05/2023S L167965           TO SALE                     1344.55        0.00       68996.22
22/05/2023J J93630            BY ON LINE                     0.00    12798.50       56197.72
24/05/2023S L168627           TO SALE                     4955.55        0.00       61153.27
31/05/2023S E191279           TO SALE                      332.23        0.00       61485.50
31/05/2023J J-CH              BY CH 000485 Q109              0.00    26182.00       35303.50
01/06/2023S E191291           TO SALE                      408.92        0.00       35712.42
03/06/2023S L169472           TO SALE                     4750.60        0.00       40463.02
05/06/2023S L169491           TO SALE                    12908.39        0.00       53371.41
05/06/2023S L169492           TO SALE                    20551.34        0.00       73922.75
14/06/2023S L170167           TO SALE                     3840.00        0.00       77762.75
16/06/2023S L170387           TO SALE                     1836.43        0.00       79599.18
19/06/2023S L170597           TO SALE                      959.60        0.00       80558.78
24/06/2023S B546650           TO SALE                      921.90        0.00       81480.68
24/06/2023S B546651           TO SALE                     1261.76        0.00       82742.44
26/06/2023S L171157           TO SALE                     8103.05        0.00       90845.49
28/06/2023J J94201            BY ON LINE                     0.00     1102.77       89742.72
01/07/2023S L171615           TO SALE                      644.52        0.00       90387.24
01/07/2023S O106850           TO SALE                     -645.08        0.00       89742.16
06/07/2023S L171834           TO SALE                    18311.23        0.00      108053.39
07/07/2023S L171945           TO SALE                      273.11        0.00      108326.50
07/07/2023S O106901           TO SALE                     -274.04        0.00      108052.46
08/07/2023S C628923           TO SALE                      858.97        0.00      108911.43
01/08/2023S B548061           TO SALE                     1307.00        0.00      110218.43
05/08/2023S B548261           TO SALE                     1485.90        0.00      111704.33
05/08/2023S L173752           TO SALE                     8828.95        0.00      120533.28
05/08/2023S L173753           TO SALE                     9484.72        0.00      130018.00
24/08/2023S L175051           TO SALE                     8894.36        0.00      138912.36
25/08/2023S E191836           TO SALE                       89.68        0.00      139002.04
09/09/2023S L176183           TO SALE                    25987.61        0.00      164989.65
11/09/2023S T100545           TO SALE                     2040.20        0.00      167029.85
14/09/2023S E191983           TO SALE                      195.88        0.00      167225.73
15/09/2023S L176483           TO SALE                     1920.00        0.00      169145.73
22/09/2023S C630266           TO SALE                     1000.02        0.00      170145.75
25/09/2023S L177243           TO SALE                      879.42        0.00      171025.17
03/10/2023S L177855           TO SALE                    21347.76        0.00      192372.93
07/10/2023J J-CH              BY CH 001119 Q109              0.00   171168.00       21204.93
12/10/2023S L178518           TO SALE                      392.46        0.00       21597.39
16/10/2023S L178817           TO SALE                     3499.26        0.00       25096.65
23/10/2023S E192260           TO SALE                      269.04        0.00       25365.69
26/10/2023S L179548           TO SALE                    30045.84        0.00       55411.53
01/11/2023S L179930           TO SALE                     2671.43        0.00       58082.96
02/11/2023S L180015           TO SALE                      224.00        0.00       58306.96
03/11/2023S B552215           TO SALE                      409.70        0.00       58716.66
03/11/2023S E192338           TO SALE                      137.66        0.00       58854.32
04/11/2023S B552270           TO SALE                      815.04        0.00       59669.36
10/11/2023S C631338           TO SALE                     1376.86        0.00       61046.22
18/11/2023S L181492           TO SALE                     5429.02        0.00       66475.24
20/11/2023S C631541           TO SALE                     1397.04        0.00       67872.28
22/11/2023S B553072           TO SALE                     1820.20        0.00       69692.48

                         TOTAL                          422016.02   352323.54       69692.48


 CREDIT BILLS ONLY ARE SHOWN IN STATEMENT FOR ALL BILLS GET GST-TIN STATEMENT
